"ITTER107","Territorio","TIPO_DATO_1522","Tipo dato","SEXISTAT1","Sesso","ISO","Nazionalità","TIPOVIOLENZA","Caratteristiche della violenza","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"IT","Italia","USERS","utenti del 1522","NRP","non indicato","NRP","Non Indicato","SEXVIOL","violenza sessuale","2013","2013",20,,
"IT","Italia","USERS","utenti del 1522","NRP","non indicato","NRP","Non Indicato","SEXVIOL","violenza sessuale","2014","2014",2,,
"IT","Italia","USERS","utenti del 1522","NRP","non indicato","NRP","Non Indicato","PHYVIOL","violenza psicologica","2013","2013",3,,
"IT","Italia","USERS","utenti del 1522","NRP","non indicato","NRP","Non Indicato","PHYVIOL","violenza psicologica","2014","2014",3,,
"IT","Italia","USERS","utenti del 1522","NRP","non indicato","NRP","Non Indicato","ECON_VIOL","violenza economica","2013","2013",1,,
"IT","Italia","USERS","utenti del 1522","NRP","non indicato","NRP","Non Indicato","ALL","tutte le voci","2013","2013",364,,
"IT","Italia","USERS","utenti del 1522","NRP","non indicato","NRP","Non Indicato","ALL","tutte le voci","2014","2014",76,,
"IT","Italia","USERS","utenti del 1522","NRP","non indicato","NRP","Non Indicato","ALL","tutte le voci","2015","2015",1,,
"IT","Italia","USERS","utenti del 1522","NRP","non indicato","NRP","Non Indicato","ALL","tutte le voci","2019","2019",2,,
"IT","Italia","USERS","utenti del 1522","NRP","non indicato","NRP","Non Indicato","ALL","tutte le voci","2020","2020",9,,
"IT","Italia","USERS","utenti del 1522","NRP","non indicato","NRP","Non Indicato","ALL","tutte le voci","2021","2021",11,,
"IT","Italia","USERS","utenti del 1522","NRP","non indicato","NRP","Non Indicato","ALL","tutte le voci","2022","2022",15,,
"IT","Italia","USERS","utenti del 1522","NRP","non indicato","NRP","Non Indicato","THREATS","minacce","2013","2013",1,,
"IT","Italia","USERS","utenti del 1522","NRP","non indicato","NRP","Non Indicato","HARASS_WORK","mobbing","2014","2014",1,,
"IT","Italia","USERS","utenti del 1522","NRP","non indicato","NRP","Non Indicato","UNAV","non disponibile","2013","2013",330,,
"IT","Italia","USERS","utenti del 1522","NRP","non indicato","NRP","Non Indicato","UNAV","non disponibile","2014","2014",66,,
"IT","Italia","USERS","utenti del 1522","NRP","non indicato","NRP","Non Indicato","UNAV","non disponibile","2015","2015",1,,
"IT","Italia","USERS","utenti del 1522","NRP","non indicato","NRP","Non Indicato","UNAV","non disponibile","2019","2019",2,,
"IT","Italia","USERS","utenti del 1522","NRP","non indicato","NRP","Non Indicato","UNAV","non disponibile","2020","2020",9,,
"IT","Italia","USERS","utenti del 1522","NRP","non indicato","NRP","Non Indicato","UNAV","non disponibile","2021","2021",11,,
"IT","Italia","USERS","utenti del 1522","NRP","non indicato","NRP","Non Indicato","UNAV","non disponibile","2022","2022",15,,
"ITC","Nord-ovest","USERS","utenti del 1522","M","maschi","NRP","Non Indicato","PHY","violenza fisica ","2013","2013",1,,
"ITC","Nord-ovest","USERS","utenti del 1522","M","maschi","NRP","Non Indicato","SEXVIOL","violenza sessuale","2013","2013",2,,
"ITC","Nord-ovest","USERS","utenti del 1522","M","maschi","NRP","Non Indicato","PHYVIOL","violenza psicologica","2013","2013",2,,
"ITC","Nord-ovest","USERS","utenti del 1522","M","maschi","NRP","Non Indicato","ALL","tutte le voci","2013","2013",14,,
"ITC","Nord-ovest","USERS","utenti del 1522","M","maschi","NRP","Non Indicato","ALL","tutte le voci","2014","2014",7,,
"ITC","Nord-ovest","USERS","utenti del 1522","M","maschi","NRP","Non Indicato","UNAV","non disponibile","2013","2013",9,,
"ITC","Nord-ovest","USERS","utenti del 1522","M","maschi","NRP","Non Indicato","UNAV","non disponibile","2014","2014",7,,
"ITC","Nord-ovest","USERS","utenti del 1522","F","femmine","NRP","Non Indicato","PHY","violenza fisica ","2013","2013",16,,
"ITC","Nord-ovest","USERS","utenti del 1522","F","femmine","NRP","Non Indicato","PHY","violenza fisica ","2014","2014",4,,
"ITC","Nord-ovest","USERS","utenti del 1522","F","femmine","NRP","Non Indicato","SEXVIOL","violenza sessuale","2013","2013",2,,
"ITC","Nord-ovest","USERS","utenti del 1522","F","femmine","NRP","Non Indicato","PHYVIOL","violenza psicologica","2013","2013",11,,
"ITC","Nord-ovest","USERS","utenti del 1522","F","femmine","NRP","Non Indicato","PHYVIOL","violenza psicologica","2014","2014",2,,
"ITC","Nord-ovest","USERS","utenti del 1522","F","femmine","NRP","Non Indicato","ALL","tutte le voci","2013","2013",117,,
"ITC","Nord-ovest","USERS","utenti del 1522","F","femmine","NRP","Non Indicato","ALL","tutte le voci","2014","2014",21,,
"ITC","Nord-ovest","USERS","utenti del 1522","F","femmine","NRP","Non Indicato","THREATS","minacce","2013","2013",3,,
"ITC","Nord-ovest","USERS","utenti del 1522","F","femmine","NRP","Non Indicato","THREATS","minacce","2014","2014",1,,
"ITC","Nord-ovest","USERS","utenti del 1522","F","femmine","NRP","Non Indicato","NRP","non risponde","2013","2013",1,,
"ITC","Nord-ovest","USERS","utenti del 1522","F","femmine","NRP","Non Indicato","UNAV","non disponibile","2013","2013",84,,
"ITC","Nord-ovest","USERS","utenti del 1522","F","femmine","NRP","Non Indicato","UNAV","non disponibile","2014","2014",14,,
"ITC","Nord-ovest","USERS","utenti del 1522","T","totale","NRP","Non Indicato","PHY","violenza fisica ","2013","2013",19,,
"ITC","Nord-ovest","USERS","utenti del 1522","T","totale","NRP","Non Indicato","PHY","violenza fisica ","2014","2014",5,,
"ITC","Nord-ovest","USERS","utenti del 1522","T","totale","NRP","Non Indicato","SEXVIOL","violenza sessuale","2013","2013",5,,
"ITC","Nord-ovest","USERS","utenti del 1522","T","totale","NRP","Non Indicato","PHYVIOL","violenza psicologica","2013","2013",14,,
"ITC","Nord-ovest","USERS","utenti del 1522","T","totale","NRP","Non Indicato","PHYVIOL","violenza psicologica","2014","2014",3,,
"ITC","Nord-ovest","USERS","utenti del 1522","T","totale","NRP","Non Indicato","ALL","tutte le voci","2013","2013",161,,
"ITC","Nord-ovest","USERS","utenti del 1522","T","totale","NRP","Non Indicato","ALL","tutte le voci","2014","2014",32,,
"ITC","Nord-ovest","USERS","utenti del 1522","T","totale","NRP","Non Indicato","THREATS","minacce","2013","2013",3,,
"ITC","Nord-ovest","USERS","utenti del 1522","T","totale","NRP","Non Indicato","THREATS","minacce","2014","2014",1,,
"ITC","Nord-ovest","USERS","utenti del 1522","T","totale","NRP","Non Indicato","NRP","non risponde","2013","2013",1,,
"ITC","Nord-ovest","USERS","utenti del 1522","T","totale","NRP","Non Indicato","UNAV","non disponibile","2013","2013",119,,
"ITC","Nord-ovest","USERS","utenti del 1522","T","totale","NRP","Non Indicato","UNAV","non disponibile","2014","2014",23,,
"ITC","Nord-ovest","USERS","utenti del 1522","NRP","non indicato","NRP","Non Indicato","PHY","violenza fisica ","2013","2013",2,,
"ITC","Nord-ovest","USERS","utenti del 1522","NRP","non indicato","NRP","Non Indicato","PHY","violenza fisica ","2014","2014",1,,
"ITC","Nord-ovest","USERS","utenti del 1522","NRP","non indicato","NRP","Non Indicato","SEXVIOL","violenza sessuale","2013","2013",1,,
"ITC","Nord-ovest","USERS","utenti del 1522","NRP","non indicato","NRP","Non Indicato","PHYVIOL","violenza psicologica","2013","2013",1,,
"ITC","Nord-ovest","USERS","utenti del 1522","NRP","non indicato","NRP","Non Indicato","PHYVIOL","violenza psicologica","2014","2014",1,,
"ITC","Nord-ovest","USERS","utenti del 1522","NRP","non indicato","NRP","Non Indicato","ALL","tutte le voci","2013","2013",30,,
"ITC","Nord-ovest","USERS","utenti del 1522","NRP","non indicato","NRP","Non Indicato","ALL","tutte le voci","2014","2014",4,,
"ITC","Nord-ovest","USERS","utenti del 1522","NRP","non indicato","NRP","Non Indicato","UNAV","non disponibile","2013","2013",26,,
"ITC","Nord-ovest","USERS","utenti del 1522","NRP","non indicato","NRP","Non Indicato","UNAV","non disponibile","2014","2014",2,,
"ITC1","Piemonte","USERS","utenti del 1522","M","maschi","NRP","Non Indicato","SEXVIOL","violenza sessuale","2013","2013",1,,
"ITC1","Piemonte","USERS","utenti del 1522","M","maschi","NRP","Non Indicato","ALL","tutte le voci","2013","2013",2,,
"ITC1","Piemonte","USERS","utenti del 1522","M","maschi","NRP","Non Indicato","ALL","tutte le voci","2014","2014",4,,
"ITC1","Piemonte","USERS","utenti del 1522","M","maschi","NRP","Non Indicato","UNAV","non disponibile","2013","2013",1,,
"ITC1","Piemonte","USERS","utenti del 1522","M","maschi","NRP","Non Indicato","UNAV","non disponibile","2014","2014",4,,
"ITC1","Piemonte","USERS","utenti del 1522","F","femmine","NRP","Non Indicato","PHY","violenza fisica ","2013","2013",4,,
"ITC1","Piemonte","USERS","utenti del 1522","F","femmine","NRP","Non Indicato","PHY","violenza fisica ","2014","2014",2,,
"ITC1","Piemonte","USERS","utenti del 1522","F","femmine","NRP","Non Indicato","PHYVIOL","violenza psicologica","2013","2013",1,,
"ITC1","Piemonte","USERS","utenti del 1522","F","femmine","NRP","Non Indicato","ALL","tutte le voci","2013","2013",35,,
"ITC1","Piemonte","USERS","utenti del 1522","F","femmine","NRP","Non Indicato","ALL","tutte le voci","2014","2014",6,,
"ITC1","Piemonte","USERS","utenti del 1522","F","femmine","NRP","Non Indicato","THREATS","minacce","2013","2013",3,,
"ITC1","Piemonte","USERS","utenti del 1522","F","femmine","NRP","Non Indicato","THREATS","minacce","2014","2014",1,,
"ITC1","Piemonte","USERS","utenti del 1522","F","femmine","NRP","Non Indicato","NRP","non risponde","2013","2013",1,,
"ITC1","Piemonte","USERS","utenti del 1522","F","femmine","NRP","Non Indicato","UNAV","non disponibile","2013","2013",26,,
"ITC1","Piemonte","USERS","utenti del 1522","F","femmine","NRP","Non Indicato","UNAV","non disponibile","2014","2014",3,,
"ITC1","Piemonte","USERS","utenti del 1522","T","totale","NRP","Non Indicato","PHY","violenza fisica ","2013","2013",5,,
"ITC1","Piemonte","USERS","utenti del 1522","T","totale","NRP","Non Indicato","PHY","violenza fisica ","2014","2014",3,,
"ITC1","Piemonte","USERS","utenti del 1522","T","totale","NRP","Non Indicato","SEXVIOL","violenza sessuale","2013","2013",1,,
"ITC1","Piemonte","USERS","utenti del 1522","T","totale","NRP","Non Indicato","PHYVIOL","violenza psicologica","2013","2013",2,,
"ITC1","Piemonte","USERS","utenti del 1522","T","totale","NRP","Non Indicato","ALL","tutte le voci","2013","2013",46,,
"ITC1","Piemonte","USERS","utenti del 1522","T","totale","NRP","Non Indicato","ALL","tutte le voci","2014","2014",11,,
"ITC1","Piemonte","USERS","utenti del 1522","T","totale","NRP","Non Indicato","THREATS","minacce","2013","2013",3,,
"ITC1","Piemonte","USERS","utenti del 1522","T","totale","NRP","Non Indicato","THREATS","minacce","2014","2014",1,,
"ITC1","Piemonte","USERS","utenti del 1522","T","totale","NRP","Non Indicato","NRP","non risponde","2013","2013",1,,
"ITC1","Piemonte","USERS","utenti del 1522","T","totale","NRP","Non Indicato","UNAV","non disponibile","2013","2013",34,,
"ITC1","Piemonte","USERS","utenti del 1522","T","totale","NRP","Non Indicato","UNAV","non disponibile","2014","2014",7,,
"ITC1","Piemonte","USERS","utenti del 1522","NRP","non indicato","NRP","Non Indicato","PHY","violenza fisica ","2013","2013",1,,
"ITC1","Piemonte","USERS","utenti del 1522","NRP","non indicato","NRP","Non Indicato","PHY","violenza fisica ","2014","2014",1,,
"ITC1","Piemonte","USERS","utenti del 1522","NRP","non indicato","NRP","Non Indicato","PHYVIOL","violenza psicologica","2013","2013",1,,
"ITC1","Piemonte","USERS","utenti del 1522","NRP","non indicato","NRP","Non Indicato","ALL","tutte le voci","2013","2013",9,,
"ITC1","Piemonte","USERS","utenti del 1522","NRP","non indicato","NRP","Non Indicato","ALL","tutte le voci","2014","2014",1,,
"ITC1","Piemonte","USERS","utenti del 1522","NRP","non indicato","NRP","Non Indicato","UNAV","non disponibile","2013","2013",7,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","USERS","utenti del 1522","F","femmine","NRP","Non Indicato","PHYVIOL","violenza psicologica","2013","2013",1,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","USERS","utenti del 1522","F","femmine","NRP","Non Indicato","ALL","tutte le voci","2013","2013",1,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","USERS","utenti del 1522","T","totale","NRP","Non Indicato","PHYVIOL","violenza psicologica","2013","2013",1,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","USERS","utenti del 1522","T","totale","NRP","Non Indicato","ALL","tutte le voci","2013","2013",1,,
"ITC3","Liguria","USERS","utenti del 1522","M","maschi","NRP","Non Indicato","PHYVIOL","violenza psicologica","2013","2013",1,,
"ITC3","Liguria","USERS","utenti del 1522","M","maschi","NRP","Non Indicato","ALL","tutte le voci","2013","2013",1,,
"ITC3","Liguria","USERS","utenti del 1522","F","femmine","NRP","Non Indicato","PHYVIOL","violenza psicologica","2013","2013",3,,
"ITC3","Liguria","USERS","utenti del 1522","F","femmine","NRP","Non Indicato","ALL","tutte le voci","2013","2013",17,,
"ITC3","Liguria","USERS","utenti del 1522","F","femmine","NRP","Non Indicato","ALL","tutte le voci","2014","2014",1,,
"ITC3","Liguria","USERS","utenti del 1522","F","femmine","NRP","Non Indicato","UNAV","non disponibile","2013","2013",14,,
"ITC3","Liguria","USERS","utenti del 1522","F","femmine","NRP","Non Indicato","UNAV","non disponibile","2014","2014",1,,
"ITC3","Liguria","USERS","utenti del 1522","T","totale","NRP","Non Indicato","PHYVIOL","violenza psicologica","2013","2013",4,,
"ITC3","Liguria","USERS","utenti del 1522","T","totale","NRP","Non Indicato","ALL","tutte le voci","2013","2013",21,,
"ITC3","Liguria","USERS","utenti del 1522","T","totale","NRP","Non Indicato","ALL","tutte le voci","2014","2014",2,,
"ITC3","Liguria","USERS","utenti del 1522","T","totale","NRP","Non Indicato","UNAV","non disponibile","2013","2013",17,,
"ITC3","Liguria","USERS","utenti del 1522","T","totale","NRP","Non Indicato","UNAV","non disponibile","2014","2014",2,,
"ITC3","Liguria","USERS","utenti del 1522","NRP","non indicato","NRP","Non Indicato","ALL","tutte le voci","2013","2013",3,,
"ITC3","Liguria","USERS","utenti del 1522","NRP","non indicato","NRP","Non Indicato","ALL","tutte le voci","2014","2014",1,,
"ITC3","Liguria","USERS","utenti del 1522","NRP","non indicato","NRP","Non Indicato","UNAV","non disponibile","2013","2013",3,,
"ITC3","Liguria","USERS","utenti del 1522","NRP","non indicato","NRP","Non Indicato","UNAV","non disponibile","2014","2014",1,,
"ITC4","Lombardia","USERS","utenti del 1522","M","maschi","NRP","Non Indicato","PHY","violenza fisica ","2013","2013",1,,
"ITC4","Lombardia","USERS","utenti del 1522","M","maschi","NRP","Non Indicato","SEXVIOL","violenza sessuale","2013","2013",1,,
"ITC4","Lombardia","USERS","utenti del 1522","M","maschi","NRP","Non Indicato","PHYVIOL","violenza psicologica","2013","2013",1,,
"ITC4","Lombardia","USERS","utenti del 1522","M","maschi","NRP","Non Indicato","ALL","tutte le voci","2013","2013",11,,
"ITC4","Lombardia","USERS","utenti del 1522","M","maschi","NRP","Non Indicato","ALL","tutte le voci","2014","2014",3,,
"ITC4","Lombardia","USERS","utenti del 1522","M","maschi","NRP","Non Indicato","UNAV","non disponibile","2013","2013",8,,
"ITC4","Lombardia","USERS","utenti del 1522","M","maschi","NRP","Non Indicato","UNAV","non disponibile","2014","2014",3,,
"ITC4","Lombardia","USERS","utenti del 1522","F","femmine","NRP","Non Indicato","PHY","violenza fisica ","2013","2013",12,,
"ITC4","Lombardia","USERS","utenti del 1522","F","femmine","NRP","Non Indicato","PHY","violenza fisica ","2014","2014",2,,
"ITC4","Lombardia","USERS","utenti del 1522","F","femmine","NRP","Non Indicato","SEXVIOL","violenza sessuale","2013","2013",2,,
"ITC4","Lombardia","USERS","utenti del 1522","F","femmine","NRP","Non Indicato","PHYVIOL","violenza psicologica","2013","2013",6,,
"ITC4","Lombardia","USERS","utenti del 1522","F","femmine","NRP","Non Indicato","PHYVIOL","violenza psicologica","2014","2014",2,,
"ITC4","Lombardia","USERS","utenti del 1522","F","femmine","NRP","Non Indicato","ALL","tutte le voci","2013","2013",64,,
"ITC4","Lombardia","USERS","utenti del 1522","F","femmine","NRP","Non Indicato","ALL","tutte le voci","2014","2014",14,,
"ITC4","Lombardia","USERS","utenti del 1522","F","femmine","NRP","Non Indicato","UNAV","non disponibile","2013","2013",44,,
"ITC4","Lombardia","USERS","utenti del 1522","F","femmine","NRP","Non Indicato","UNAV","non disponibile","2014","2014",10,,
"ITC4","Lombardia","USERS","utenti del 1522","T","totale","NRP","Non Indicato","PHY","violenza fisica ","2013","2013",14,,
"ITC4","Lombardia","USERS","utenti del 1522","T","totale","NRP","Non Indicato","PHY","violenza fisica ","2014","2014",2,,
"ITC4","Lombardia","USERS","utenti del 1522","T","totale","NRP","Non Indicato","SEXVIOL","violenza sessuale","2013","2013",4,,
"ITC4","Lombardia","USERS","utenti del 1522","T","totale","NRP","Non Indicato","PHYVIOL","violenza psicologica","2013","2013",7,,
"ITC4","Lombardia","USERS","utenti del 1522","T","totale","NRP","Non Indicato","PHYVIOL","violenza psicologica","2014","2014",3,,
"ITC4","Lombardia","USERS","utenti del 1522","T","totale","NRP","Non Indicato","ALL","tutte le voci","2013","2013",93,,
"ITC4","Lombardia","USERS","utenti del 1522","T","totale","NRP","Non Indicato","ALL","tutte le voci","2014","2014",19,,
"ITC4","Lombardia","USERS","utenti del 1522","T","totale","NRP","Non Indicato","UNAV","non disponibile","2013","2013",68,,
"ITC4","Lombardia","USERS","utenti del 1522","T","totale","NRP","Non Indicato","UNAV","non disponibile","2014","2014",14,,
"ITC4","Lombardia","USERS","utenti del 1522","NRP","non indicato","NRP","Non Indicato","PHY","violenza fisica ","2013","2013",1,,
"ITC4","Lombardia","USERS","utenti del 1522","NRP","non indicato","NRP","Non Indicato","SEXVIOL","violenza sessuale","2013","2013",1,,
"ITC4","Lombardia","USERS","utenti del 1522","NRP","non indicato","NRP","Non Indicato","PHYVIOL","violenza psicologica","2014","2014",1,,
"ITC4","Lombardia","USERS","utenti del 1522","NRP","non indicato","NRP","Non Indicato","ALL","tutte le voci","2013","2013",18,,
"ITC4","Lombardia","USERS","utenti del 1522","NRP","non indicato","NRP","Non Indicato","ALL","tutte le voci","2014","2014",2,,
"ITC4","Lombardia","USERS","utenti del 1522","NRP","non indicato","NRP","Non Indicato","UNAV","non disponibile","2013","2013",16,,
"ITC4","Lombardia","USERS","utenti del 1522","NRP","non indicato","NRP","Non Indicato","UNAV","non disponibile","2014","2014",1,,
"ITD","Nord-est","USERS","utenti del 1522","M","maschi","NRP","Non Indicato","PHY","violenza fisica ","2013","2013",1,,
"ITD","Nord-est","USERS","utenti del 1522","M","maschi","NRP","Non Indicato","PHY","violenza fisica ","2014","2014",2,,
"ITD","Nord-est","USERS","utenti del 1522","M","maschi","NRP","Non Indicato","PHYVIOL","violenza psicologica","2013","2013",2,,
"ITD","Nord-est","USERS","utenti del 1522","M","maschi","NRP","Non Indicato","PHYVIOL","violenza psicologica","2014","2014",1,,
"ITD","Nord-est","USERS","utenti del 1522","M","maschi","NRP","Non Indicato","ALL","tutte le voci","2013","2013",18,,
"ITD","Nord-est","USERS","utenti del 1522","M","maschi","NRP","Non Indicato","ALL","tutte le voci","2014","2014",9,,
"ITD","Nord-est","USERS","utenti del 1522","M","maschi","NRP","Non Indicato","UNAV","non disponibile","2013","2013",15,,
"ITD","Nord-est","USERS","utenti del 1522","M","maschi","NRP","Non Indicato","UNAV","non disponibile","2014","2014",6,,
"ITD","Nord-est","USERS","utenti del 1522","F","femmine","NRP","Non Indicato","PHY","violenza fisica ","2013","2013",11,,
"ITD","Nord-est","USERS","utenti del 1522","F","femmine","NRP","Non Indicato","PHY","violenza fisica ","2014","2014",2,,
"ITD","Nord-est","USERS","utenti del 1522","F","femmine","NRP","Non Indicato","SEXVIOL","violenza sessuale","2013","2013",3,,
"ITD","Nord-est","USERS","utenti del 1522","F","femmine","NRP","Non Indicato","PHYVIOL","violenza psicologica","2013","2013",7,,
