"ITTER107","Territorio","TIPO_DATO_1522","Tipo dato","MOTIVOPS1","Motivi della chiamata","SEXISTAT1","Sesso","ISO","Nazionalità","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"IT","Italia","USERS","utenti del 1522","EMERGENCY","emergenza","M","maschi","NRP","Non Indicato","2018","2018",1,,
"IT","Italia","USERS","utenti del 1522","EMERGENCY","emergenza","F","femmine","NRP","Non Indicato","2013","2013",20,,
"IT","Italia","USERS","utenti del 1522","EMERGENCY","emergenza","F","femmine","NRP","Non Indicato","2014","2014",3,,
"IT","Italia","USERS","utenti del 1522","EMERGENCY","emergenza","F","femmine","NRP","Non Indicato","2019","2019",1,,
"IT","Italia","USERS","utenti del 1522","EMERGENCY","emergenza","F","femmine","NRP","Non Indicato","2020","2020",1,,
"IT","Italia","USERS","utenti del 1522","EMERGENCY","emergenza","F","femmine","NRP","Non Indicato","2022","2022",3,,
"IT","Italia","USERS","utenti del 1522","EMERGENCY","emergenza","T","totale","NRP","Non Indicato","2013","2013",31,,
"IT","Italia","USERS","utenti del 1522","EMERGENCY","emergenza","T","totale","NRP","Non Indicato","2014","2014",7,,
"IT","Italia","USERS","utenti del 1522","EMERGENCY","emergenza","T","totale","NRP","Non Indicato","2015","2015",1,,
"IT","Italia","USERS","utenti del 1522","EMERGENCY","emergenza","T","totale","NRP","Non Indicato","2018","2018",1,,
"IT","Italia","USERS","utenti del 1522","EMERGENCY","emergenza","T","totale","NRP","Non Indicato","2019","2019",3,,
"IT","Italia","USERS","utenti del 1522","EMERGENCY","emergenza","T","totale","NRP","Non Indicato","2020","2020",10,,
"IT","Italia","USERS","utenti del 1522","EMERGENCY","emergenza","T","totale","NRP","Non Indicato","2021","2021",11,,
"IT","Italia","USERS","utenti del 1522","EMERGENCY","emergenza","T","totale","NRP","Non Indicato","2022","2022",18,,
"IT","Italia","USERS","utenti del 1522","EMERGENCY","emergenza","NRP","non indicato","NRP","Non Indicato","2013","2013",11,,
"IT","Italia","USERS","utenti del 1522","EMERGENCY","emergenza","NRP","non indicato","NRP","Non Indicato","2014","2014",3,,
"IT","Italia","USERS","utenti del 1522","EMERGENCY","emergenza","NRP","non indicato","NRP","Non Indicato","2015","2015",1,,
"IT","Italia","USERS","utenti del 1522","EMERGENCY","emergenza","NRP","non indicato","NRP","Non Indicato","2019","2019",2,,
"IT","Italia","USERS","utenti del 1522","EMERGENCY","emergenza","NRP","non indicato","NRP","Non Indicato","2020","2020",9,,
"IT","Italia","USERS","utenti del 1522","EMERGENCY","emergenza","NRP","non indicato","NRP","Non Indicato","2021","2021",11,,
"IT","Italia","USERS","utenti del 1522","EMERGENCY","emergenza","NRP","non indicato","NRP","Non Indicato","2022","2022",15,,
"IT","Italia","USERS","utenti del 1522","INFO_HELP_1522","informazioni sul servizio 1522","M","maschi","NRP","Non Indicato","2013","2013",31,,
"IT","Italia","USERS","utenti del 1522","INFO_HELP_1522","informazioni sul servizio 1522","M","maschi","NRP","Non Indicato","2014","2014",16,,
"IT","Italia","USERS","utenti del 1522","INFO_HELP_1522","informazioni sul servizio 1522","F","femmine","NRP","Non Indicato","2013","2013",114,,
"IT","Italia","USERS","utenti del 1522","INFO_HELP_1522","informazioni sul servizio 1522","F","femmine","NRP","Non Indicato","2014","2014",21,,
"IT","Italia","USERS","utenti del 1522","INFO_HELP_1522","informazioni sul servizio 1522","T","totale","NRP","Non Indicato","2013","2013",196,,
"IT","Italia","USERS","utenti del 1522","INFO_HELP_1522","informazioni sul servizio 1522","T","totale","NRP","Non Indicato","2014","2014",40,,
"IT","Italia","USERS","utenti del 1522","INFO_HELP_1522","informazioni sul servizio 1522","NRP","non indicato","NRP","Non Indicato","2013","2013",51,,
"IT","Italia","USERS","utenti del 1522","INFO_HELP_1522","informazioni sul servizio 1522","NRP","non indicato","NRP","Non Indicato","2014","2014",3,,
"IT","Italia","USERS","utenti del 1522","INFO_NAT_SHELT","informazioni sui Centri Antiviolenza Nazionali","M","maschi","NRP","Non Indicato","2013","2013",39,,
"IT","Italia","USERS","utenti del 1522","INFO_NAT_SHELT","informazioni sui Centri Antiviolenza Nazionali","M","maschi","NRP","Non Indicato","2014","2014",11,,
"IT","Italia","USERS","utenti del 1522","INFO_NAT_SHELT","informazioni sui Centri Antiviolenza Nazionali","F","femmine","NRP","Non Indicato","2013","2013",257,,
"IT","Italia","USERS","utenti del 1522","INFO_NAT_SHELT","informazioni sui Centri Antiviolenza Nazionali","F","femmine","NRP","Non Indicato","2014","2014",41,,
"IT","Italia","USERS","utenti del 1522","INFO_NAT_SHELT","informazioni sui Centri Antiviolenza Nazionali","T","totale","NRP","Non Indicato","2013","2013",378,,
"IT","Italia","USERS","utenti del 1522","INFO_NAT_SHELT","informazioni sui Centri Antiviolenza Nazionali","T","totale","NRP","Non Indicato","2014","2014",69,,
"IT","Italia","USERS","utenti del 1522","INFO_NAT_SHELT","informazioni sui Centri Antiviolenza Nazionali","NRP","non indicato","NRP","Non Indicato","2013","2013",82,,
"IT","Italia","USERS","utenti del 1522","INFO_NAT_SHELT","informazioni sui Centri Antiviolenza Nazionali","NRP","non indicato","NRP","Non Indicato","2014","2014",17,,
"IT","Italia","USERS","utenti del 1522","LEGAL_INFO","informazioni giuridiche","M","maschi","NRP","Non Indicato","2014","2014",2,,
"IT","Italia","USERS","utenti del 1522","LEGAL_INFO","informazioni giuridiche","F","femmine","NRP","Non Indicato","2013","2013",24,,
"IT","Italia","USERS","utenti del 1522","LEGAL_INFO","informazioni giuridiche","F","femmine","NRP","Non Indicato","2014","2014",2,,
"IT","Italia","USERS","utenti del 1522","LEGAL_INFO","informazioni giuridiche","T","totale","NRP","Non Indicato","2013","2013",27,,
"IT","Italia","USERS","utenti del 1522","LEGAL_INFO","informazioni giuridiche","T","totale","NRP","Non Indicato","2014","2014",6,,
"IT","Italia","USERS","utenti del 1522","LEGAL_INFO","informazioni giuridiche","NRP","non indicato","NRP","Non Indicato","2013","2013",3,,
"IT","Italia","USERS","utenti del 1522","LEGAL_INFO","informazioni giuridiche","NRP","non indicato","NRP","Non Indicato","2014","2014",2,,
"IT","Italia","USERS","utenti del 1522","INFO_FOR_PROF","informazioni per professionisti sulle procedure da adottare in caso di violenza","M","maschi","NRP","Non Indicato","2013","2013",5,,
"IT","Italia","USERS","utenti del 1522","INFO_FOR_PROF","informazioni per professionisti sulle procedure da adottare in caso di violenza","F","femmine","NRP","Non Indicato","2013","2013",2,,
"IT","Italia","USERS","utenti del 1522","INFO_FOR_PROF","informazioni per professionisti sulle procedure da adottare in caso di violenza","T","totale","NRP","Non Indicato","2013","2013",7,,
"IT","Italia","USERS","utenti del 1522","INFO_FOR_PROF","informazioni per professionisti sulle procedure da adottare in caso di violenza","T","totale","NRP","Non Indicato","2014","2014",1,,
"IT","Italia","USERS","utenti del 1522","INFO_FOR_PROF","informazioni per professionisti sulle procedure da adottare in caso di violenza","NRP","non indicato","NRP","Non Indicato","2014","2014",1,,
"IT","Italia","USERS","utenti del 1522","INFO_PUB_SERV","informazioni sulla responsabilità giuridica degli operatori dei servizi pubblici","M","maschi","NRP","Non Indicato","2013","2013",2,,
"IT","Italia","USERS","utenti del 1522","INFO_PUB_SERV","informazioni sulla responsabilità giuridica degli operatori dei servizi pubblici","F","femmine","NRP","Non Indicato","2013","2013",2,,
"IT","Italia","USERS","utenti del 1522","INFO_PUB_SERV","informazioni sulla responsabilità giuridica degli operatori dei servizi pubblici","T","totale","NRP","Non Indicato","2013","2013",6,,
"IT","Italia","USERS","utenti del 1522","INFO_PUB_SERV","informazioni sulla responsabilità giuridica degli operatori dei servizi pubblici","NRP","non indicato","NRP","Non Indicato","2013","2013",2,,
"IT","Italia","USERS","utenti del 1522","REPORT_PUB_SERV","segnalazione disfunzione servizi pubblici/privati","M","maschi","NRP","Non Indicato","2013","2013",1,,
"IT","Italia","USERS","utenti del 1522","REPORT_PUB_SERV","segnalazione disfunzione servizi pubblici/privati","M","maschi","NRP","Non Indicato","2014","2014",2,,
"IT","Italia","USERS","utenti del 1522","REPORT_PUB_SERV","segnalazione disfunzione servizi pubblici/privati","F","femmine","NRP","Non Indicato","2013","2013",6,,
"IT","Italia","USERS","utenti del 1522","REPORT_PUB_SERV","segnalazione disfunzione servizi pubblici/privati","T","totale","NRP","Non Indicato","2013","2013",7,,
"IT","Italia","USERS","utenti del 1522","REPORT_PUB_SERV","segnalazione disfunzione servizi pubblici/privati","T","totale","NRP","Non Indicato","2014","2014",2,,
"IT","Italia","USERS","utenti del 1522","INT_AFTER_HOUR","chiamata internazionale fuori orario","M","maschi","NRP","Non Indicato","2013","2013",4,,
"IT","Italia","USERS","utenti del 1522","INT_AFTER_HOUR","chiamata internazionale fuori orario","M","maschi","NRP","Non Indicato","2014","2014",1,,
"IT","Italia","USERS","utenti del 1522","INT_AFTER_HOUR","chiamata internazionale fuori orario","F","femmine","NRP","Non Indicato","2013","2013",18,,
"IT","Italia","USERS","utenti del 1522","INT_AFTER_HOUR","chiamata internazionale fuori orario","F","femmine","NRP","Non Indicato","2014","2014",3,,
"IT","Italia","USERS","utenti del 1522","INT_AFTER_HOUR","chiamata internazionale fuori orario","T","totale","NRP","Non Indicato","2013","2013",31,,
"IT","Italia","USERS","utenti del 1522","INT_AFTER_HOUR","chiamata internazionale fuori orario","T","totale","NRP","Non Indicato","2014","2014",8,,
"IT","Italia","USERS","utenti del 1522","INT_AFTER_HOUR","chiamata internazionale fuori orario","NRP","non indicato","NRP","Non Indicato","2013","2013",9,,
"IT","Italia","USERS","utenti del 1522","INT_AFTER_HOUR","chiamata internazionale fuori orario","NRP","non indicato","NRP","Non Indicato","2014","2014",4,,
"IT","Italia","USERS","utenti del 1522","USEFUL_PHONE","numeri utili per chiamate fuori target","M","maschi","NRP","Non Indicato","2013","2013",112,,
"IT","Italia","USERS","utenti del 1522","USEFUL_PHONE","numeri utili per chiamate fuori target","M","maschi","NRP","Non Indicato","2014","2014",19,,
"IT","Italia","USERS","utenti del 1522","USEFUL_PHONE","numeri utili per chiamate fuori target","F","femmine","NRP","Non Indicato","2013","2013",384,,
"IT","Italia","USERS","utenti del 1522","USEFUL_PHONE","numeri utili per chiamate fuori target","F","femmine","NRP","Non Indicato","2014","2014",59,,
"IT","Italia","USERS","utenti del 1522","USEFUL_PHONE","numeri utili per chiamate fuori target","T","totale","NRP","Non Indicato","2013","2013",660,,
"IT","Italia","USERS","utenti del 1522","USEFUL_PHONE","numeri utili per chiamate fuori target","T","totale","NRP","Non Indicato","2014","2014",111,,
"IT","Italia","USERS","utenti del 1522","USEFUL_PHONE","numeri utili per chiamate fuori target","NRP","non indicato","NRP","Non Indicato","2013","2013",164,,
"IT","Italia","USERS","utenti del 1522","USEFUL_PHONE","numeri utili per chiamate fuori target","NRP","non indicato","NRP","Non Indicato","2014","2014",33,,
"IT","Italia","USERS","utenti del 1522","ALL_VAL","chiamate valide","M","maschi","NRP","Non Indicato","2013","2013",216,,
"IT","Italia","USERS","utenti del 1522","ALL_VAL","chiamate valide","M","maschi","NRP","Non Indicato","2014","2014",58,,
"IT","Italia","USERS","utenti del 1522","ALL_VAL","chiamate valide","M","maschi","NRP","Non Indicato","2018","2018",1,,
"IT","Italia","USERS","utenti del 1522","ALL_VAL","chiamate valide","F","femmine","NRP","Non Indicato","2013","2013",999,,
"IT","Italia","USERS","utenti del 1522","ALL_VAL","chiamate valide","F","femmine","NRP","Non Indicato","2014","2014",164,,
"IT","Italia","USERS","utenti del 1522","ALL_VAL","chiamate valide","F","femmine","NRP","Non Indicato","2019","2019",1,,
"IT","Italia","USERS","utenti del 1522","ALL_VAL","chiamate valide","F","femmine","NRP","Non Indicato","2020","2020",1,,
"IT","Italia","USERS","utenti del 1522","ALL_VAL","chiamate valide","F","femmine","NRP","Non Indicato","2022","2022",3,,
"IT","Italia","USERS","utenti del 1522","ALL_VAL","chiamate valide","T","totale","NRP","Non Indicato","2013","2013",1579,,
"IT","Italia","USERS","utenti del 1522","ALL_VAL","chiamate valide","T","totale","NRP","Non Indicato","2014","2014",298,,
"IT","Italia","USERS","utenti del 1522","ALL_VAL","chiamate valide","T","totale","NRP","Non Indicato","2015","2015",1,,
"IT","Italia","USERS","utenti del 1522","ALL_VAL","chiamate valide","T","totale","NRP","Non Indicato","2018","2018",1,,
"IT","Italia","USERS","utenti del 1522","ALL_VAL","chiamate valide","T","totale","NRP","Non Indicato","2019","2019",3,,
"IT","Italia","USERS","utenti del 1522","ALL_VAL","chiamate valide","T","totale","NRP","Non Indicato","2020","2020",10,,
"IT","Italia","USERS","utenti del 1522","ALL_VAL","chiamate valide","T","totale","NRP","Non Indicato","2021","2021",11,,
"IT","Italia","USERS","utenti del 1522","ALL_VAL","chiamate valide","T","totale","NRP","Non Indicato","2022","2022",18,,
"IT","Italia","USERS","utenti del 1522","ALL_VAL","chiamate valide","NRP","non indicato","NRP","Non Indicato","2013","2013",364,,
"IT","Italia","USERS","utenti del 1522","ALL_VAL","chiamate valide","NRP","non indicato","NRP","Non Indicato","2014","2014",76,,
"IT","Italia","USERS","utenti del 1522","ALL_VAL","chiamate valide","NRP","non indicato","NRP","Non Indicato","2015","2015",1,,
"IT","Italia","USERS","utenti del 1522","ALL_VAL","chiamate valide","NRP","non indicato","NRP","Non Indicato","2019","2019",2,,
"IT","Italia","USERS","utenti del 1522","ALL_VAL","chiamate valide","NRP","non indicato","NRP","Non Indicato","2020","2020",9,,
"IT","Italia","USERS","utenti del 1522","ALL_VAL","chiamate valide","NRP","non indicato","NRP","Non Indicato","2021","2021",11,,
"IT","Italia","USERS","utenti del 1522","ALL_VAL","chiamate valide","NRP","non indicato","NRP","Non Indicato","2022","2022",15,,
"ITC","Nord-ovest","USERS","utenti del 1522","VICT_STALK_SEEK","richiesta di aiuto vittima di stalking","F","femmine","NRP","Non Indicato","2013","2013",6,,
"ITC","Nord-ovest","USERS","utenti del 1522","VICT_STALK_SEEK","richiesta di aiuto vittima di stalking","F","femmine","NRP","Non Indicato","2014","2014",1,,
"ITC","Nord-ovest","USERS","utenti del 1522","VICT_STALK_SEEK","richiesta di aiuto vittima di stalking","T","totale","NRP","Non Indicato","2013","2013",6,,
"ITC","Nord-ovest","USERS","utenti del 1522","VICT_STALK_SEEK","richiesta di aiuto vittima di stalking","T","totale","NRP","Non Indicato","2014","2014",1,,
"ITC","Nord-ovest","USERS","utenti del 1522","VICT_VIOL_SEEK","richiesta di aiuto vittima di violenza","M","maschi","NRP","Non Indicato","2013","2013",3,,
"ITC","Nord-ovest","USERS","utenti del 1522","VICT_VIOL_SEEK","richiesta di aiuto vittima di violenza","F","femmine","NRP","Non Indicato","2013","2013",19,,
"ITC","Nord-ovest","USERS","utenti del 1522","VICT_VIOL_SEEK","richiesta di aiuto vittima di violenza","F","femmine","NRP","Non Indicato","2014","2014",4,,
"ITC","Nord-ovest","USERS","utenti del 1522","VICT_VIOL_SEEK","richiesta di aiuto vittima di violenza","T","totale","NRP","Non Indicato","2013","2013",26,,
"ITC","Nord-ovest","USERS","utenti del 1522","VICT_VIOL_SEEK","richiesta di aiuto vittima di violenza","T","totale","NRP","Non Indicato","2014","2014",6,,
"ITC","Nord-ovest","USERS","utenti del 1522","VICT_VIOL_SEEK","richiesta di aiuto vittima di violenza","NRP","non indicato","NRP","Non Indicato","2013","2013",4,,
"ITC","Nord-ovest","USERS","utenti del 1522","VICT_VIOL_SEEK","richiesta di aiuto vittima di violenza","NRP","non indicato","NRP","Non Indicato","2014","2014",2,,
"ITC","Nord-ovest","USERS","utenti del 1522","REPORT_VIOL","segnalazione di un caso di violenza","M","maschi","NRP","Non Indicato","2013","2013",2,,
"ITC","Nord-ovest","USERS","utenti del 1522","REPORT_VIOL","segnalazione di un caso di violenza","F","femmine","NRP","Non Indicato","2013","2013",8,,
"ITC","Nord-ovest","USERS","utenti del 1522","REPORT_VIOL","segnalazione di un caso di violenza","F","femmine","NRP","Non Indicato","2014","2014",2,,
"ITC","Nord-ovest","USERS","utenti del 1522","REPORT_VIOL","segnalazione di un caso di violenza","T","totale","NRP","Non Indicato","2013","2013",10,,
"ITC","Nord-ovest","USERS","utenti del 1522","REPORT_VIOL","segnalazione di un caso di violenza","T","totale","NRP","Non Indicato","2014","2014",2,,
"ITC","Nord-ovest","USERS","utenti del 1522","EMERGENCY","emergenza","F","femmine","NRP","Non Indicato","2013","2013",1,,
"ITC","Nord-ovest","USERS","utenti del 1522","EMERGENCY","emergenza","F","femmine","NRP","Non Indicato","2014","2014",1,,
"ITC","Nord-ovest","USERS","utenti del 1522","EMERGENCY","emergenza","T","totale","NRP","Non Indicato","2013","2013",4,,
"ITC","Nord-ovest","USERS","utenti del 1522","EMERGENCY","emergenza","T","totale","NRP","Non Indicato","2014","2014",1,,
"ITC","Nord-ovest","USERS","utenti del 1522","EMERGENCY","emergenza","NRP","non indicato","NRP","Non Indicato","2013","2013",3,,
"ITC","Nord-ovest","USERS","utenti del 1522","INFO_HELP_1522","informazioni sul servizio 1522","M","maschi","NRP","Non Indicato","2013","2013",2,,
"ITC","Nord-ovest","USERS","utenti del 1522","INFO_HELP_1522","informazioni sul servizio 1522","M","maschi","NRP","Non Indicato","2014","2014",2,,
"ITC","Nord-ovest","USERS","utenti del 1522","INFO_HELP_1522","informazioni sul servizio 1522","F","femmine","NRP","Non Indicato","2013","2013",7,,
"ITC","Nord-ovest","USERS","utenti del 1522","INFO_HELP_1522","informazioni sul servizio 1522","F","femmine","NRP","Non Indicato","2014","2014",3,,
"ITC","Nord-ovest","USERS","utenti del 1522","INFO_HELP_1522","informazioni sul servizio 1522","T","totale","NRP","Non Indicato","2013","2013",14,,
"ITC","Nord-ovest","USERS","utenti del 1522","INFO_HELP_1522","informazioni sul servizio 1522","T","totale","NRP","Non Indicato","2014","2014",5,,
"ITC","Nord-ovest","USERS","utenti del 1522","INFO_HELP_1522","informazioni sul servizio 1522","NRP","non indicato","NRP","Non Indicato","2013","2013",5,,
"ITC","Nord-ovest","USERS","utenti del 1522","INFO_NAT_SHELT","informazioni sui Centri Antiviolenza Nazionali","M","maschi","NRP","Non Indicato","2013","2013",4,,
"ITC","Nord-ovest","USERS","utenti del 1522","INFO_NAT_SHELT","informazioni sui Centri Antiviolenza Nazionali","M","maschi","NRP","Non Indicato","2014","2014",5,,
"ITC","Nord-ovest","USERS","utenti del 1522","INFO_NAT_SHELT","informazioni sui Centri Antiviolenza Nazionali","F","femmine","NRP","Non Indicato","2013","2013",44,,
"ITC","Nord-ovest","USERS","utenti del 1522","INFO_NAT_SHELT","informazioni sui Centri Antiviolenza Nazionali","F","femmine","NRP","Non Indicato","2014","2014",3,,
"ITC","Nord-ovest","USERS","utenti del 1522","INFO_NAT_SHELT","informazioni sui Centri Antiviolenza Nazionali","T","totale","NRP","Non Indicato","2013","2013",56,,
"ITC","Nord-ovest","USERS","utenti del 1522","INFO_NAT_SHELT","informazioni sui Centri Antiviolenza Nazionali","T","totale","NRP","Non Indicato","2014","2014",10,,
"ITC","Nord-ovest","USERS","utenti del 1522","INFO_NAT_SHELT","informazioni sui Centri Antiviolenza Nazionali","NRP","non indicato","NRP","Non Indicato","2013","2013",8,,
"ITC","Nord-ovest","USERS","utenti del 1522","INFO_NAT_SHELT","informazioni sui Centri Antiviolenza Nazionali","NRP","non indicato","NRP","Non Indicato","2014","2014",2,,
"ITC","Nord-ovest","USERS","utenti del 1522","LEGAL_INFO","informazioni giuridiche","F","femmine","NRP","Non Indicato","2013","2013",3,,
"ITC","Nord-ovest","USERS","utenti del 1522","LEGAL_INFO","informazioni giuridiche","T","totale","NRP","Non Indicato","2013","2013",4,,
"ITC","Nord-ovest","USERS","utenti del 1522","LEGAL_INFO","informazioni giuridiche","NRP","non indicato","NRP","Non Indicato","2013","2013",1,,
"ITC","Nord-ovest","USERS","utenti del 1522","INT_AFTER_HOUR","chiamata internazionale fuori orario","F","femmine","NRP","Non Indicato","2013","2013",1,,
"ITC","Nord-ovest","USERS","utenti del 1522","INT_AFTER_HOUR","chiamata internazionale fuori orario","T","totale","NRP","Non Indicato","2013","2013",1,,
"ITC","Nord-ovest","USERS","utenti del 1522","USEFUL_PHONE","numeri utili per chiamate fuori target","M","maschi","NRP","Non Indicato","2013","2013",3,,
"ITC","Nord-ovest","USERS","utenti del 1522","USEFUL_PHONE","numeri utili per chiamate fuori target","F","femmine","NRP","Non Indicato","2013","2013",28,,
"ITC","Nord-ovest","USERS","utenti del 1522","USEFUL_PHONE","numeri utili per chiamate fuori target","F","femmine","NRP","Non Indicato","2014","2014",7,,
"ITC","Nord-ovest","USERS","utenti del 1522","USEFUL_PHONE","numeri utili per chiamate fuori target","T","totale","NRP","Non Indicato","2013","2013",40,,
"ITC","Nord-ovest","USERS","utenti del 1522","USEFUL_PHONE","numeri utili per chiamate fuori target","T","totale","NRP","Non Indicato","2014","2014",7,,
"ITC","Nord-ovest","USERS","utenti del 1522","USEFUL_PHONE","numeri utili per chiamate fuori target","NRP","non indicato","NRP","Non Indicato","2013","2013",9,,
"ITC","Nord-ovest","USERS","utenti del 1522","ALL_VAL","chiamate valide","M","maschi","NRP","Non Indicato","2013","2013",14,,
"ITC","Nord-ovest","USERS","utenti del 1522","ALL_VAL","chiamate valide","M","maschi","NRP","Non Indicato","2014","2014",7,,
"ITC","Nord-ovest","USERS","utenti del 1522","ALL_VAL","chiamate valide","F","femmine","NRP","Non Indicato","2013","2013",117,,
"ITC","Nord-ovest","USERS","utenti del 1522","ALL_VAL","chiamate valide","F","femmine","NRP","Non Indicato","2014","2014",21,,
"ITC","Nord-ovest","USERS","utenti del 1522","ALL_VAL","chiamate valide","T","totale","NRP","Non Indicato","2013","2013",161,,
"ITC","Nord-ovest","USERS","utenti del 1522","ALL_VAL","chiamate valide","T","totale","NRP","Non Indicato","2014","2014",32,,
"ITC","Nord-ovest","USERS","utenti del 1522","ALL_VAL","chiamate valide","NRP","non indicato","NRP","Non Indicato","2013","2013",30,,
"ITC","Nord-ovest","USERS","utenti del 1522","ALL_VAL","chiamate valide","NRP","non indicato","NRP","Non Indicato","2014","2014",4,,
"ITC1","Piemonte","USERS","utenti del 1522","VICT_STALK_SEEK","richiesta di aiuto vittima di stalking","F","femmine","NRP","Non Indicato","2013","2013",4,,
"ITC1","Piemonte","USERS","utenti del 1522","VICT_STALK_SEEK","richiesta di aiuto vittima di stalking","F","femmine","NRP","Non Indicato","2014","2014",1,,
"ITC1","Piemonte","USERS","utenti del 1522","VICT_STALK_SEEK","richiesta di aiuto vittima di stalking","T","totale","NRP","Non Indicato","2013","2013",4,,
"ITC1","Piemonte","USERS","utenti del 1522","VICT_STALK_SEEK","richiesta di aiuto vittima di stalking","T","totale","NRP","Non Indicato","2014","2014",1,,
"ITC1","Piemonte","USERS","utenti del 1522","VICT_VIOL_SEEK","richiesta di aiuto vittima di violenza","M","maschi","NRP","Non Indicato","2013","2013",1,,
"ITC1","Piemonte","USERS","utenti del 1522","VICT_VIOL_SEEK","richiesta di aiuto vittima di violenza","F","femmine","NRP","Non Indicato","2013","2013",4,,
"ITC1","Piemonte","USERS","utenti del 1522","VICT_VIOL_SEEK","richiesta di aiuto vittima di violenza","F","femmine","NRP","Non Indicato","2014","2014",2,,
"ITC1","Piemonte","USERS","utenti del 1522","VICT_VIOL_SEEK","richiesta di aiuto vittima di violenza","T","totale","NRP","Non Indicato","2013","2013",7,,
"ITC1","Piemonte","USERS","utenti del 1522","VICT_VIOL_SEEK","richiesta di aiuto vittima di violenza","T","totale","NRP","Non Indicato","2014","2014",3,,
"ITC1","Piemonte","USERS","utenti del 1522","VICT_VIOL_SEEK","richiesta di aiuto vittima di violenza","NRP","non indicato","NRP","Non Indicato","2013","2013",2,,
