"ITTER107","Territorio","TIPO_DATO_1522","Tipo dato","ISO","Nazionalità","TRASMISSIONE","Modalità di conoscenza del 1522","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"ITD5","Emilia-Romagna","USERS","utenti del 1522","NRP","Non Indicato","INTERNET","internet","2013","2013",2,,
"ITD5","Emilia-Romagna","USERS","utenti del 1522","NRP","Non Indicato","INTERNET","internet","2014","2014",1,,
"ITD5","Emilia-Romagna","USERS","utenti del 1522","NRP","Non Indicato","UNAV","non disponibile","2013","2013",28,,
"ITD5","Emilia-Romagna","USERS","utenti del 1522","NRP","Non Indicato","UNAV","non disponibile","2014","2014",8,,
"ITE","Centro","USERS","utenti del 1522","NRP","Non Indicato","TOTAL","totale","2013","2013",165,,
"ITE","Centro","USERS","utenti del 1522","NRP","Non Indicato","TOTAL","totale","2014","2014",35,,
"ITE","Centro","USERS","utenti del 1522","NRP","Non Indicato","TV","TV","2013","2013",47,,
"ITE","Centro","USERS","utenti del 1522","NRP","Non Indicato","TV","TV","2014","2014",6,,
"ITE","Centro","USERS","utenti del 1522","NRP","Non Indicato","PRESS","stampa","2013","2013",1,,
"ITE","Centro","USERS","utenti del 1522","NRP","Non Indicato","PRESS","stampa","2014","2014",1,,
"ITE","Centro","USERS","utenti del 1522","NRP","Non Indicato","INTERNET","internet","2013","2013",7,,
"ITE","Centro","USERS","utenti del 1522","NRP","Non Indicato","INTERNET","internet","2014","2014",1,,
"ITE","Centro","USERS","utenti del 1522","NRP","Non Indicato","RELATIVE","parente / amico / conoscente","2013","2013",1,,
"ITE","Centro","USERS","utenti del 1522","NRP","Non Indicato","PUB_SERV","servizio pubblico","2013","2013",2,,
"ITE","Centro","USERS","utenti del 1522","NRP","Non Indicato","PUB_SERV","servizio pubblico","2014","2014",1,,
"ITE","Centro","USERS","utenti del 1522","NRP","Non Indicato","PHONE_BOOK","elenco telefonico","2013","2013",3,,
"ITE","Centro","USERS","utenti del 1522","NRP","Non Indicato","OTHER","altro","2013","2013",2,,
"ITE","Centro","USERS","utenti del 1522","NRP","Non Indicato","UNAV","non disponibile","2013","2013",102,,
"ITE","Centro","USERS","utenti del 1522","NRP","Non Indicato","UNAV","non disponibile","2014","2014",26,,
"ITE1","Toscana","USERS","utenti del 1522","NRP","Non Indicato","TOTAL","totale","2013","2013",44,,
"ITE1","Toscana","USERS","utenti del 1522","NRP","Non Indicato","TOTAL","totale","2014","2014",6,,
"ITE1","Toscana","USERS","utenti del 1522","NRP","Non Indicato","TV","TV","2013","2013",15,,
"ITE1","Toscana","USERS","utenti del 1522","NRP","Non Indicato","TV","TV","2014","2014",2,,
"ITE1","Toscana","USERS","utenti del 1522","NRP","Non Indicato","PRESS","stampa","2013","2013",1,,
"ITE1","Toscana","USERS","utenti del 1522","NRP","Non Indicato","PRESS","stampa","2014","2014",1,,
"ITE1","Toscana","USERS","utenti del 1522","NRP","Non Indicato","INTERNET","internet","2013","2013",1,,
"ITE1","Toscana","USERS","utenti del 1522","NRP","Non Indicato","PHONE_BOOK","elenco telefonico","2013","2013",1,,
"ITE1","Toscana","USERS","utenti del 1522","NRP","Non Indicato","UNAV","non disponibile","2013","2013",26,,
"ITE1","Toscana","USERS","utenti del 1522","NRP","Non Indicato","UNAV","non disponibile","2014","2014",3,,
"ITE2","Umbria","USERS","utenti del 1522","NRP","Non Indicato","TOTAL","totale","2013","2013",10,,
"ITE2","Umbria","USERS","utenti del 1522","NRP","Non Indicato","TV","TV","2013","2013",4,,
"ITE2","Umbria","USERS","utenti del 1522","NRP","Non Indicato","UNAV","non disponibile","2013","2013",6,,
"ITE3","Marche","USERS","utenti del 1522","NRP","Non Indicato","TOTAL","totale","2013","2013",19,,
"ITE3","Marche","USERS","utenti del 1522","NRP","Non Indicato","TOTAL","totale","2014","2014",5,,
"ITE3","Marche","USERS","utenti del 1522","NRP","Non Indicato","TV","TV","2013","2013",5,,
"ITE3","Marche","USERS","utenti del 1522","NRP","Non Indicato","INTERNET","internet","2013","2013",1,,
"ITE3","Marche","USERS","utenti del 1522","NRP","Non Indicato","RELATIVE","parente / amico / conoscente","2013","2013",1,,
"ITE3","Marche","USERS","utenti del 1522","NRP","Non Indicato","UNAV","non disponibile","2013","2013",12,,
"ITE3","Marche","USERS","utenti del 1522","NRP","Non Indicato","UNAV","non disponibile","2014","2014",5,,
"ITE4","Lazio","USERS","utenti del 1522","NRP","Non Indicato","TOTAL","totale","2013","2013",92,,
"ITE4","Lazio","USERS","utenti del 1522","NRP","Non Indicato","TOTAL","totale","2014","2014",24,,
"ITE4","Lazio","USERS","utenti del 1522","NRP","Non Indicato","TV","TV","2013","2013",23,,
"ITE4","Lazio","USERS","utenti del 1522","NRP","Non Indicato","TV","TV","2014","2014",4,,
"ITE4","Lazio","USERS","utenti del 1522","NRP","Non Indicato","INTERNET","internet","2013","2013",5,,
"ITE4","Lazio","USERS","utenti del 1522","NRP","Non Indicato","INTERNET","internet","2014","2014",1,,
"ITE4","Lazio","USERS","utenti del 1522","NRP","Non Indicato","PUB_SERV","servizio pubblico","2013","2013",2,,
"ITE4","Lazio","USERS","utenti del 1522","NRP","Non Indicato","PUB_SERV","servizio pubblico","2014","2014",1,,
"ITE4","Lazio","USERS","utenti del 1522","NRP","Non Indicato","PHONE_BOOK","elenco telefonico","2013","2013",2,,
"ITE4","Lazio","USERS","utenti del 1522","NRP","Non Indicato","OTHER","altro","2013","2013",2,,
"ITE4","Lazio","USERS","utenti del 1522","NRP","Non Indicato","UNAV","non disponibile","2013","2013",58,,
"ITE4","Lazio","USERS","utenti del 1522","NRP","Non Indicato","UNAV","non disponibile","2014","2014",18,,
"ITF","Sud","USERS","utenti del 1522","NRP","Non Indicato","TOTAL","totale","2013","2013",257,,
"ITF","Sud","USERS","utenti del 1522","NRP","Non Indicato","TOTAL","totale","2014","2014",44,,
"ITF","Sud","USERS","utenti del 1522","NRP","Non Indicato","TV","TV","2013","2013",59,,
"ITF","Sud","USERS","utenti del 1522","NRP","Non Indicato","TV","TV","2014","2014",7,,
"ITF","Sud","USERS","utenti del 1522","NRP","Non Indicato","INTERNET","internet","2013","2013",6,,
"ITF","Sud","USERS","utenti del 1522","NRP","Non Indicato","INTERNET","internet","2014","2014",2,,
"ITF","Sud","USERS","utenti del 1522","NRP","Non Indicato","RELATIVE","parente / amico / conoscente","2013","2013",6,,
"ITF","Sud","USERS","utenti del 1522","NRP","Non Indicato","PUB_SERV","servizio pubblico","2013","2013",5,,
"ITF","Sud","USERS","utenti del 1522","NRP","Non Indicato","PUB_SERV","servizio pubblico","2014","2014",2,,
"ITF","Sud","USERS","utenti del 1522","NRP","Non Indicato","PHONE_BOOK","elenco telefonico","2013","2013",7,,
"ITF","Sud","USERS","utenti del 1522","NRP","Non Indicato","OTHER","altro","2013","2013",1,,
"ITF","Sud","USERS","utenti del 1522","NRP","Non Indicato","NRP","non risponde","2013","2013",1,,
"ITF","Sud","USERS","utenti del 1522","NRP","Non Indicato","UNAV","non disponibile","2013","2013",172,,
"ITF","Sud","USERS","utenti del 1522","NRP","Non Indicato","UNAV","non disponibile","2014","2014",33,,
"ITF1","Abruzzo","USERS","utenti del 1522","NRP","Non Indicato","TOTAL","totale","2013","2013",24,,
"ITF1","Abruzzo","USERS","utenti del 1522","NRP","Non Indicato","TOTAL","totale","2014","2014",6,,
"ITF1","Abruzzo","USERS","utenti del 1522","NRP","Non Indicato","TV","TV","2013","2013",1,,
"ITF1","Abruzzo","USERS","utenti del 1522","NRP","Non Indicato","TV","TV","2014","2014",1,,
"ITF1","Abruzzo","USERS","utenti del 1522","NRP","Non Indicato","INTERNET","internet","2013","2013",1,,
"ITF1","Abruzzo","USERS","utenti del 1522","NRP","Non Indicato","INTERNET","internet","2014","2014",1,,
"ITF1","Abruzzo","USERS","utenti del 1522","NRP","Non Indicato","PUB_SERV","servizio pubblico","2013","2013",1,,
"ITF1","Abruzzo","USERS","utenti del 1522","NRP","Non Indicato","PUB_SERV","servizio pubblico","2014","2014",1,,
"ITF1","Abruzzo","USERS","utenti del 1522","NRP","Non Indicato","PHONE_BOOK","elenco telefonico","2013","2013",2,,
"ITF1","Abruzzo","USERS","utenti del 1522","NRP","Non Indicato","UNAV","non disponibile","2013","2013",19,,
"ITF1","Abruzzo","USERS","utenti del 1522","NRP","Non Indicato","UNAV","non disponibile","2014","2014",3,,
"ITF2","Molise","USERS","utenti del 1522","NRP","Non Indicato","TOTAL","totale","2013","2013",8,,
"ITF2","Molise","USERS","utenti del 1522","NRP","Non Indicato","TV","TV","2013","2013",3,,
"ITF2","Molise","USERS","utenti del 1522","NRP","Non Indicato","PUB_SERV","servizio pubblico","2013","2013",2,,
"ITF2","Molise","USERS","utenti del 1522","NRP","Non Indicato","UNAV","non disponibile","2013","2013",3,,
"ITF3","Campania","USERS","utenti del 1522","NRP","Non Indicato","TOTAL","totale","2013","2013",127,,
"ITF3","Campania","USERS","utenti del 1522","NRP","Non Indicato","TOTAL","totale","2014","2014",18,,
"ITF3","Campania","USERS","utenti del 1522","NRP","Non Indicato","TV","TV","2013","2013",36,,
"ITF3","Campania","USERS","utenti del 1522","NRP","Non Indicato","TV","TV","2014","2014",3,,
"ITF3","Campania","USERS","utenti del 1522","NRP","Non Indicato","INTERNET","internet","2013","2013",3,,
"ITF3","Campania","USERS","utenti del 1522","NRP","Non Indicato","INTERNET","internet","2014","2014",1,,
"ITF3","Campania","USERS","utenti del 1522","NRP","Non Indicato","RELATIVE","parente / amico / conoscente","2013","2013",3,,
"ITF3","Campania","USERS","utenti del 1522","NRP","Non Indicato","PUB_SERV","servizio pubblico","2013","2013",1,,
"ITF3","Campania","USERS","utenti del 1522","NRP","Non Indicato","PHONE_BOOK","elenco telefonico","2013","2013",3,,
"ITF3","Campania","USERS","utenti del 1522","NRP","Non Indicato","UNAV","non disponibile","2013","2013",81,,
"ITF3","Campania","USERS","utenti del 1522","NRP","Non Indicato","UNAV","non disponibile","2014","2014",14,,
"ITF4","Puglia","USERS","utenti del 1522","NRP","Non Indicato","TOTAL","totale","2013","2013",65,,
"ITF4","Puglia","USERS","utenti del 1522","NRP","Non Indicato","TOTAL","totale","2014","2014",14,,
"ITF4","Puglia","USERS","utenti del 1522","NRP","Non Indicato","TV","TV","2013","2013",14,,
"ITF4","Puglia","USERS","utenti del 1522","NRP","Non Indicato","TV","TV","2014","2014",2,,
"ITF4","Puglia","USERS","utenti del 1522","NRP","Non Indicato","INTERNET","internet","2013","2013",1,,
"ITF4","Puglia","USERS","utenti del 1522","NRP","Non Indicato","RELATIVE","parente / amico / conoscente","2013","2013",2,,
"ITF4","Puglia","USERS","utenti del 1522","NRP","Non Indicato","PUB_SERV","servizio pubblico","2013","2013",1,,
"ITF4","Puglia","USERS","utenti del 1522","NRP","Non Indicato","PUB_SERV","servizio pubblico","2014","2014",1,,
"ITF4","Puglia","USERS","utenti del 1522","NRP","Non Indicato","PHONE_BOOK","elenco telefonico","2013","2013",2,,
"ITF4","Puglia","USERS","utenti del 1522","NRP","Non Indicato","OTHER","altro","2013","2013",1,,
"ITF4","Puglia","USERS","utenti del 1522","NRP","Non Indicato","NRP","non risponde","2013","2013",1,,
"ITF4","Puglia","USERS","utenti del 1522","NRP","Non Indicato","UNAV","non disponibile","2013","2013",43,,
"ITF4","Puglia","USERS","utenti del 1522","NRP","Non Indicato","UNAV","non disponibile","2014","2014",11,,
"ITF5","Basilicata","USERS","utenti del 1522","NRP","Non Indicato","TOTAL","totale","2013","2013",9,,
"ITF5","Basilicata","USERS","utenti del 1522","NRP","Non Indicato","TV","TV","2013","2013",1,,
"ITF5","Basilicata","USERS","utenti del 1522","NRP","Non Indicato","RELATIVE","parente / amico / conoscente","2013","2013",1,,
"ITF5","Basilicata","USERS","utenti del 1522","NRP","Non Indicato","UNAV","non disponibile","2013","2013",7,,
"ITF6","Calabria","USERS","utenti del 1522","NRP","Non Indicato","TOTAL","totale","2013","2013",24,,
"ITF6","Calabria","USERS","utenti del 1522","NRP","Non Indicato","TOTAL","totale","2014","2014",6,,
"ITF6","Calabria","USERS","utenti del 1522","NRP","Non Indicato","TV","TV","2013","2013",4,,
"ITF6","Calabria","USERS","utenti del 1522","NRP","Non Indicato","TV","TV","2014","2014",1,,
"ITF6","Calabria","USERS","utenti del 1522","NRP","Non Indicato","INTERNET","internet","2013","2013",1,,
"ITF6","Calabria","USERS","utenti del 1522","NRP","Non Indicato","UNAV","non disponibile","2013","2013",19,,
"ITF6","Calabria","USERS","utenti del 1522","NRP","Non Indicato","UNAV","non disponibile","2014","2014",5,,
"ITG","Isole","USERS","utenti del 1522","NRP","Non Indicato","TOTAL","totale","2013","2013",117,,
"ITG","Isole","USERS","utenti del 1522","NRP","Non Indicato","TOTAL","totale","2014","2014",18,,
