"ITTER107","Territorio","TIPO_DATO_1522","Tipo dato","SEXISTAT1","Sesso","TIPOVIOLENZA","Tipo di violenza","STATI_MORBOSI","Stato d'animo","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"IT","Italia","VICTIMS","vittime di violenza","M","maschi","PHYVIOL","violenza psicologica","ALL","tutte le voci","2016","2016",128,,
"IT","Italia","VICTIMS","vittime di violenza","M","maschi","PHYVIOL","violenza psicologica","ALL","tutte le voci","2017","2017",107,,
"IT","Italia","VICTIMS","vittime di violenza","M","maschi","PHYVIOL","violenza psicologica","ALL","tutte le voci","2018","2018",107,,
"IT","Italia","VICTIMS","vittime di violenza","M","maschi","PHYVIOL","violenza psicologica","ALL","tutte le voci","2019","2019",80,,
"IT","Italia","VICTIMS","vittime di violenza","M","maschi","PHYVIOL","violenza psicologica","ALL","tutte le voci","2020","2020",182,,
"IT","Italia","VICTIMS","vittime di violenza","M","maschi","PHYVIOL","violenza psicologica","ALL","tutte le voci","2021","2021",148,,
"IT","Italia","VICTIMS","vittime di violenza","M","maschi","PHYVIOL","violenza psicologica","ALL","tutte le voci","2022","2022",74,,
"IT","Italia","VICTIMS","vittime di violenza","M","maschi","ECON_VIOL","violenza economica","ALL","tutte le voci","2013","2013",16,,
"IT","Italia","VICTIMS","vittime di violenza","M","maschi","ECON_VIOL","violenza economica","ALL","tutte le voci","2014","2014",6,,
"IT","Italia","VICTIMS","vittime di violenza","M","maschi","ECON_VIOL","violenza economica","ALL","tutte le voci","2015","2015",1,,
"IT","Italia","VICTIMS","vittime di violenza","M","maschi","ECON_VIOL","violenza economica","ALL","tutte le voci","2016","2016",4,,
"IT","Italia","VICTIMS","vittime di violenza","M","maschi","ECON_VIOL","violenza economica","ALL","tutte le voci","2017","2017",2,,
"IT","Italia","VICTIMS","vittime di violenza","M","maschi","ECON_VIOL","violenza economica","ALL","tutte le voci","2018","2018",1,,
"IT","Italia","VICTIMS","vittime di violenza","M","maschi","ECON_VIOL","violenza economica","ALL","tutte le voci","2019","2019",5,,
"IT","Italia","VICTIMS","vittime di violenza","M","maschi","ECON_VIOL","violenza economica","ALL","tutte le voci","2020","2020",5,,
"IT","Italia","VICTIMS","vittime di violenza","M","maschi","ECON_VIOL","violenza economica","ALL","tutte le voci","2021","2021",9,,
"IT","Italia","VICTIMS","vittime di violenza","M","maschi","ECON_VIOL","violenza economica","ALL","tutte le voci","2022","2022",2,,
"IT","Italia","VICTIMS","vittime di violenza","M","maschi","ALL","tutte le voci","ALL","tutte le voci","2013","2013",1140,,
"IT","Italia","VICTIMS","vittime di violenza","M","maschi","ALL","tutte le voci","ALL","tutte le voci","2014","2014",429,,
"IT","Italia","VICTIMS","vittime di violenza","M","maschi","ALL","tutte le voci","ALL","tutte le voci","2015","2015",311,,
"IT","Italia","VICTIMS","vittime di violenza","M","maschi","ALL","tutte le voci","ALL","tutte le voci","2016","2016",295,,
"IT","Italia","VICTIMS","vittime di violenza","M","maschi","ALL","tutte le voci","ALL","tutte le voci","2017","2017",286,,
"IT","Italia","VICTIMS","vittime di violenza","M","maschi","ALL","tutte le voci","ALL","tutte le voci","2018","2018",261,,
"IT","Italia","VICTIMS","vittime di violenza","M","maschi","ALL","tutte le voci","ALL","tutte le voci","2019","2019",218,,
"IT","Italia","VICTIMS","vittime di violenza","M","maschi","ALL","tutte le voci","ALL","tutte le voci","2020","2020",571,,
"IT","Italia","VICTIMS","vittime di violenza","M","maschi","ALL","tutte le voci","ALL","tutte le voci","2021","2021",540,,
"IT","Italia","VICTIMS","vittime di violenza","M","maschi","ALL","tutte le voci","ALL","tutte le voci","2022","2022",262,,
"IT","Italia","VICTIMS","vittime di violenza","M","maschi","THREATS","minacce","ALL","tutte le voci","2013","2013",72,,
"IT","Italia","VICTIMS","vittime di violenza","M","maschi","THREATS","minacce","ALL","tutte le voci","2014","2014",28,,
"IT","Italia","VICTIMS","vittime di violenza","M","maschi","THREATS","minacce","ALL","tutte le voci","2015","2015",25,,
"IT","Italia","VICTIMS","vittime di violenza","M","maschi","THREATS","minacce","ALL","tutte le voci","2016","2016",25,,
"IT","Italia","VICTIMS","vittime di violenza","M","maschi","THREATS","minacce","ALL","tutte le voci","2017","2017",19,,
"IT","Italia","VICTIMS","vittime di violenza","M","maschi","THREATS","minacce","ALL","tutte le voci","2018","2018",13,,
"IT","Italia","VICTIMS","vittime di violenza","M","maschi","THREATS","minacce","ALL","tutte le voci","2019","2019",12,,
"IT","Italia","VICTIMS","vittime di violenza","M","maschi","THREATS","minacce","ALL","tutte le voci","2020","2020",26,,
"IT","Italia","VICTIMS","vittime di violenza","M","maschi","THREATS","minacce","ALL","tutte le voci","2021","2021",32,,
"IT","Italia","VICTIMS","vittime di violenza","M","maschi","THREATS","minacce","ALL","tutte le voci","2022","2022",21,,
"IT","Italia","VICTIMS","vittime di violenza","M","maschi","HARASS_WORK","mobbing","ALL","tutte le voci","2013","2013",7,,
"IT","Italia","VICTIMS","vittime di violenza","M","maschi","HARASS_WORK","mobbing","ALL","tutte le voci","2014","2014",1,,
"IT","Italia","VICTIMS","vittime di violenza","M","maschi","HARASS_WORK","mobbing","ALL","tutte le voci","2015","2015",3,,
"IT","Italia","VICTIMS","vittime di violenza","M","maschi","HARASS_WORK","mobbing","ALL","tutte le voci","2016","2016",1,,
"IT","Italia","VICTIMS","vittime di violenza","M","maschi","HARASS_WORK","mobbing","ALL","tutte le voci","2017","2017",4,,
"IT","Italia","VICTIMS","vittime di violenza","M","maschi","HARASS_WORK","mobbing","ALL","tutte le voci","2018","2018",3,,
"IT","Italia","VICTIMS","vittime di violenza","M","maschi","HARASS_WORK","mobbing","ALL","tutte le voci","2019","2019",1,,
"IT","Italia","VICTIMS","vittime di violenza","M","maschi","HARASS_WORK","mobbing","ALL","tutte le voci","2020","2020",4,,
"IT","Italia","VICTIMS","vittime di violenza","M","maschi","HARASS_WORK","mobbing","ALL","tutte le voci","2021","2021",5,,
"IT","Italia","VICTIMS","vittime di violenza","M","maschi","HARASS_WORK","mobbing","ALL","tutte le voci","2022","2022",1,,
"IT","Italia","VICTIMS","vittime di violenza","M","maschi","NRP","non risponde","ALL","tutte le voci","2013","2013",44,,
"IT","Italia","VICTIMS","vittime di violenza","M","maschi","NRP","non risponde","ALL","tutte le voci","2014","2014",22,,
"IT","Italia","VICTIMS","vittime di violenza","M","maschi","NRP","non risponde","ALL","tutte le voci","2015","2015",20,,
"IT","Italia","VICTIMS","vittime di violenza","M","maschi","NRP","non risponde","ALL","tutte le voci","2016","2016",10,,
"IT","Italia","VICTIMS","vittime di violenza","M","maschi","NRP","non risponde","ALL","tutte le voci","2017","2017",11,,
"IT","Italia","VICTIMS","vittime di violenza","M","maschi","NRP","non risponde","ALL","tutte le voci","2018","2018",7,,
"IT","Italia","VICTIMS","vittime di violenza","M","maschi","NRP","non risponde","ALL","tutte le voci","2019","2019",6,,
"IT","Italia","VICTIMS","vittime di violenza","M","maschi","NRP","non risponde","ALL","tutte le voci","2020","2020",27,,
"IT","Italia","VICTIMS","vittime di violenza","M","maschi","NRP","non risponde","ALL","tutte le voci","2021","2021",8,,
"IT","Italia","VICTIMS","vittime di violenza","M","maschi","NRP","non risponde","ALL","tutte le voci","2022","2022",14,,
"IT","Italia","VICTIMS","vittime di violenza","F","femmine","PHY","violenza fisica ","ALL","tutte le voci","2013","2013",6795,,
"IT","Italia","VICTIMS","vittime di violenza","F","femmine","PHY","violenza fisica ","ALL","tutte le voci","2014","2014",4794,,
"IT","Italia","VICTIMS","vittime di violenza","F","femmine","PHY","violenza fisica ","ALL","tutte le voci","2015","2015",3693,,
"IT","Italia","VICTIMS","vittime di violenza","F","femmine","PHY","violenza fisica ","ALL","tutte le voci","2016","2016",3727,,
"IT","Italia","VICTIMS","vittime di violenza","F","femmine","PHY","violenza fisica ","ALL","tutte le voci","2017","2017",3553,,
"IT","Italia","VICTIMS","vittime di violenza","F","femmine","PHY","violenza fisica ","ALL","tutte le voci","2018","2018",4166,,
"IT","Italia","VICTIMS","vittime di violenza","F","femmine","PHY","violenza fisica ","ALL","tutte le voci","2019","2019",3698,,
"IT","Italia","VICTIMS","vittime di violenza","F","femmine","PHY","violenza fisica ","ALL","tutte le voci","2020","2020",7250,,
"IT","Italia","VICTIMS","vittime di violenza","F","femmine","PHY","violenza fisica ","ALL","tutte le voci","2021","2021",6949,,
"IT","Italia","VICTIMS","vittime di violenza","F","femmine","PHY","violenza fisica ","ALL","tutte le voci","2022","2022",5024,,
"IT","Italia","VICTIMS","vittime di violenza","F","femmine","SEXVIOL","violenza sessuale","ALL","tutte le voci","2013","2013",528,,
"IT","Italia","VICTIMS","vittime di violenza","F","femmine","SEXVIOL","violenza sessuale","ALL","tutte le voci","2014","2014",480,,
"IT","Italia","VICTIMS","vittime di violenza","F","femmine","SEXVIOL","violenza sessuale","ALL","tutte le voci","2015","2015",258,,
"IT","Italia","VICTIMS","vittime di violenza","F","femmine","SEXVIOL","violenza sessuale","ALL","tutte le voci","2016","2016",327,,
"IT","Italia","VICTIMS","vittime di violenza","F","femmine","SEXVIOL","violenza sessuale","ALL","tutte le voci","2017","2017",493,,
"IT","Italia","VICTIMS","vittime di violenza","F","femmine","SEXVIOL","violenza sessuale","ALL","tutte le voci","2018","2018",412,,
"IT","Italia","VICTIMS","vittime di violenza","F","femmine","SEXVIOL","violenza sessuale","ALL","tutte le voci","2019","2019",479,,
"IT","Italia","VICTIMS","vittime di violenza","F","femmine","SEXVIOL","violenza sessuale","ALL","tutte le voci","2020","2020",1040,,
"IT","Italia","VICTIMS","vittime di violenza","F","femmine","SEXVIOL","violenza sessuale","ALL","tutte le voci","2021","2021",1406,,
"IT","Italia","VICTIMS","vittime di violenza","F","femmine","SEXVIOL","violenza sessuale","ALL","tutte le voci","2022","2022",857,,
"IT","Italia","VICTIMS","vittime di violenza","F","femmine","PHYVIOL","violenza psicologica","ALL","tutte le voci","2013","2013",4736,,
"IT","Italia","VICTIMS","vittime di violenza","F","femmine","PHYVIOL","violenza psicologica","ALL","tutte le voci","2014","2014",3268,,
"IT","Italia","VICTIMS","vittime di violenza","F","femmine","PHYVIOL","violenza psicologica","ALL","tutte le voci","2015","2015",2784,,
"IT","Italia","VICTIMS","vittime di violenza","F","femmine","PHYVIOL","violenza psicologica","ALL","tutte le voci","2016","2016",2837,,
"IT","Italia","VICTIMS","vittime di violenza","F","femmine","PHYVIOL","violenza psicologica","ALL","tutte le voci","2017","2017",2732,,
"IT","Italia","VICTIMS","vittime di violenza","F","femmine","PHYVIOL","violenza psicologica","ALL","tutte le voci","2018","2018",3640,,
"IT","Italia","VICTIMS","vittime di violenza","F","femmine","PHYVIOL","violenza psicologica","ALL","tutte le voci","2019","2019",3263,,
"IT","Italia","VICTIMS","vittime di violenza","F","femmine","PHYVIOL","violenza psicologica","ALL","tutte le voci","2020","2020",5134,,
"IT","Italia","VICTIMS","vittime di violenza","F","femmine","PHYVIOL","violenza psicologica","ALL","tutte le voci","2021","2021",5240,,
"IT","Italia","VICTIMS","vittime di violenza","F","femmine","PHYVIOL","violenza psicologica","ALL","tutte le voci","2022","2022",3818,,
"IT","Italia","VICTIMS","vittime di violenza","F","femmine","ECON_VIOL","violenza economica","ALL","tutte le voci","2013","2013",261,,
"IT","Italia","VICTIMS","vittime di violenza","F","femmine","ECON_VIOL","violenza economica","ALL","tutte le voci","2014","2014",205,,
"IT","Italia","VICTIMS","vittime di violenza","F","femmine","ECON_VIOL","violenza economica","ALL","tutte le voci","2015","2015",139,,
"IT","Italia","VICTIMS","vittime di violenza","F","femmine","ECON_VIOL","violenza economica","ALL","tutte le voci","2016","2016",147,,
"IT","Italia","VICTIMS","vittime di violenza","F","femmine","ECON_VIOL","violenza economica","ALL","tutte le voci","2017","2017",143,,
"IT","Italia","VICTIMS","vittime di violenza","F","femmine","ECON_VIOL","violenza economica","ALL","tutte le voci","2018","2018",122,,
"IT","Italia","VICTIMS","vittime di violenza","F","femmine","ECON_VIOL","violenza economica","ALL","tutte le voci","2019","2019",113,,
"IT","Italia","VICTIMS","vittime di violenza","F","femmine","ECON_VIOL","violenza economica","ALL","tutte le voci","2020","2020",180,,
"IT","Italia","VICTIMS","vittime di violenza","F","femmine","ECON_VIOL","violenza economica","ALL","tutte le voci","2021","2021",147,,
"IT","Italia","VICTIMS","vittime di violenza","F","femmine","ECON_VIOL","violenza economica","ALL","tutte le voci","2022","2022",125,,
"IT","Italia","VICTIMS","vittime di violenza","F","femmine","ALL","tutte le voci","ALL","tutte le voci","2013","2013",14327,,
"IT","Italia","VICTIMS","vittime di violenza","F","femmine","ALL","tutte le voci","ALL","tutte le voci","2014","2014",10034,,
"IT","Italia","VICTIMS","vittime di violenza","F","femmine","ALL","tutte le voci","ALL","tutte le voci","2015","2015",7770,,
"IT","Italia","VICTIMS","vittime di violenza","F","femmine","ALL","tutte le voci","ALL","tutte le voci","2016","2016",7830,,
"IT","Italia","VICTIMS","vittime di violenza","F","femmine","ALL","tutte le voci","ALL","tutte le voci","2017","2017",7799,,
"IT","Italia","VICTIMS","vittime di violenza","F","femmine","ALL","tutte le voci","ALL","tutte le voci","2018","2018",9341,,
"IT","Italia","VICTIMS","vittime di violenza","F","femmine","ALL","tutte le voci","ALL","tutte le voci","2019","2019",8427,,
"IT","Italia","VICTIMS","vittime di violenza","F","femmine","ALL","tutte le voci","ALL","tutte le voci","2020","2020",15128,,
"IT","Italia","VICTIMS","vittime di violenza","F","femmine","ALL","tutte le voci","ALL","tutte le voci","2021","2021",15720,,
"IT","Italia","VICTIMS","vittime di violenza","F","femmine","ALL","tutte le voci","ALL","tutte le voci","2022","2022",11632,,
"IT","Italia","VICTIMS","vittime di violenza","F","femmine","THREATS","minacce","ALL","tutte le voci","2013","2013",354,,
"IT","Italia","VICTIMS","vittime di violenza","F","femmine","THREATS","minacce","ALL","tutte le voci","2014","2014",419,,
"IT","Italia","VICTIMS","vittime di violenza","F","femmine","THREATS","minacce","ALL","tutte le voci","2015","2015",281,,
"IT","Italia","VICTIMS","vittime di violenza","F","femmine","THREATS","minacce","ALL","tutte le voci","2016","2016",325,,
"IT","Italia","VICTIMS","vittime di violenza","F","femmine","THREATS","minacce","ALL","tutte le voci","2017","2017",337,,
"IT","Italia","VICTIMS","vittime di violenza","F","femmine","THREATS","minacce","ALL","tutte le voci","2018","2018",362,,
"IT","Italia","VICTIMS","vittime di violenza","F","femmine","THREATS","minacce","ALL","tutte le voci","2019","2019",311,,
"IT","Italia","VICTIMS","vittime di violenza","F","femmine","THREATS","minacce","ALL","tutte le voci","2020","2020",482,,
"IT","Italia","VICTIMS","vittime di violenza","F","femmine","THREATS","minacce","ALL","tutte le voci","2021","2021",755,,
"IT","Italia","VICTIMS","vittime di violenza","F","femmine","THREATS","minacce","ALL","tutte le voci","2022","2022",610,,
"IT","Italia","VICTIMS","vittime di violenza","F","femmine","HARASS_WORK","mobbing","ALL","tutte le voci","2013","2013",88,,
"IT","Italia","VICTIMS","vittime di violenza","F","femmine","HARASS_WORK","mobbing","ALL","tutte le voci","2014","2014",35,,
"IT","Italia","VICTIMS","vittime di violenza","F","femmine","HARASS_WORK","mobbing","ALL","tutte le voci","2015","2015",24,,
"IT","Italia","VICTIMS","vittime di violenza","F","femmine","HARASS_WORK","mobbing","ALL","tutte le voci","2016","2016",19,,
"IT","Italia","VICTIMS","vittime di violenza","F","femmine","HARASS_WORK","mobbing","ALL","tutte le voci","2017","2017",29,,
"IT","Italia","VICTIMS","vittime di violenza","F","femmine","HARASS_WORK","mobbing","ALL","tutte le voci","2018","2018",28,,
"IT","Italia","VICTIMS","vittime di violenza","F","femmine","HARASS_WORK","mobbing","ALL","tutte le voci","2019","2019",15,,
"IT","Italia","VICTIMS","vittime di violenza","F","femmine","HARASS_WORK","mobbing","ALL","tutte le voci","2020","2020",59,,
"IT","Italia","VICTIMS","vittime di violenza","F","femmine","HARASS_WORK","mobbing","ALL","tutte le voci","2021","2021",74,,
"IT","Italia","VICTIMS","vittime di violenza","F","femmine","HARASS_WORK","mobbing","ALL","tutte le voci","2022","2022",40,,
"IT","Italia","VICTIMS","vittime di violenza","F","femmine","NRP","non risponde","ALL","tutte le voci","2013","2013",317,,
"IT","Italia","VICTIMS","vittime di violenza","F","femmine","NRP","non risponde","ALL","tutte le voci","2014","2014",138,,
"IT","Italia","VICTIMS","vittime di violenza","F","femmine","NRP","non risponde","ALL","tutte le voci","2015","2015",141,,
"IT","Italia","VICTIMS","vittime di violenza","F","femmine","NRP","non risponde","ALL","tutte le voci","2016","2016",96,,
"IT","Italia","VICTIMS","vittime di violenza","F","femmine","NRP","non risponde","ALL","tutte le voci","2017","2017",80,,
"IT","Italia","VICTIMS","vittime di violenza","F","femmine","NRP","non risponde","ALL","tutte le voci","2018","2018",68,,
"IT","Italia","VICTIMS","vittime di violenza","F","femmine","NRP","non risponde","ALL","tutte le voci","2019","2019",47,,
"IT","Italia","VICTIMS","vittime di violenza","F","femmine","NRP","non risponde","ALL","tutte le voci","2020","2020",199,,
"IT","Italia","VICTIMS","vittime di violenza","F","femmine","NRP","non risponde","ALL","tutte le voci","2021","2021",155,,
"IT","Italia","VICTIMS","vittime di violenza","F","femmine","NRP","non risponde","ALL","tutte le voci","2022","2022",153,,
"IT","Italia","VICTIMS","vittime di violenza","T","totale","PHY","violenza fisica ","ALL","tutte le voci","2013","2013",7278,,
"IT","Italia","VICTIMS","vittime di violenza","T","totale","PHY","violenza fisica ","ALL","tutte le voci","2014","2014",4904,,
"IT","Italia","VICTIMS","vittime di violenza","T","totale","PHY","violenza fisica ","ALL","tutte le voci","2015","2015",3760,,
"IT","Italia","VICTIMS","vittime di violenza","T","totale","PHY","violenza fisica ","ALL","tutte le voci","2016","2016",3807,,
"IT","Italia","VICTIMS","vittime di violenza","T","totale","PHY","violenza fisica ","ALL","tutte le voci","2017","2017",3619,,
"IT","Italia","VICTIMS","vittime di violenza","T","totale","PHY","violenza fisica ","ALL","tutte le voci","2018","2018",4248,,
"IT","Italia","VICTIMS","vittime di violenza","T","totale","PHY","violenza fisica ","ALL","tutte le voci","2019","2019",3760,,
"IT","Italia","VICTIMS","vittime di violenza","T","totale","PHY","violenza fisica ","ALL","tutte le voci","2020","2020",7439,,
"IT","Italia","VICTIMS","vittime di violenza","T","totale","PHY","violenza fisica ","ALL","tutte le voci","2021","2021",7107,,
"IT","Italia","VICTIMS","vittime di violenza","T","totale","PHY","violenza fisica ","ALL","tutte le voci","2022","2022",5104,,
"IT","Italia","VICTIMS","vittime di violenza","T","totale","SEXVIOL","violenza sessuale","ALL","tutte le voci","2013","2013",631,,
"IT","Italia","VICTIMS","vittime di violenza","T","totale","SEXVIOL","violenza sessuale","ALL","tutte le voci","2014","2014",525,,
"IT","Italia","VICTIMS","vittime di violenza","T","totale","SEXVIOL","violenza sessuale","ALL","tutte le voci","2015","2015",281,,
"IT","Italia","VICTIMS","vittime di violenza","T","totale","SEXVIOL","violenza sessuale","ALL","tutte le voci","2016","2016",356,,
"IT","Italia","VICTIMS","vittime di violenza","T","totale","SEXVIOL","violenza sessuale","ALL","tutte le voci","2017","2017",538,,
"IT","Italia","VICTIMS","vittime di violenza","T","totale","SEXVIOL","violenza sessuale","ALL","tutte le voci","2018","2018",437,,
"IT","Italia","VICTIMS","vittime di violenza","T","totale","SEXVIOL","violenza sessuale","ALL","tutte le voci","2019","2019",504,,
"IT","Italia","VICTIMS","vittime di violenza","T","totale","SEXVIOL","violenza sessuale","ALL","tutte le voci","2020","2020",1134,,
"IT","Italia","VICTIMS","vittime di violenza","T","totale","SEXVIOL","violenza sessuale","ALL","tutte le voci","2021","2021",1522,,
"IT","Italia","VICTIMS","vittime di violenza","T","totale","SEXVIOL","violenza sessuale","ALL","tutte le voci","2022","2022",899,,
"IT","Italia","VICTIMS","vittime di violenza","T","totale","PHYVIOL","violenza psicologica","ALL","tutte le voci","2013","2013",5099,,
"IT","Italia","VICTIMS","vittime di violenza","T","totale","PHYVIOL","violenza psicologica","ALL","tutte le voci","2014","2014",3424,,
"IT","Italia","VICTIMS","vittime di violenza","T","totale","PHYVIOL","violenza psicologica","ALL","tutte le voci","2015","2015",2918,,
"IT","Italia","VICTIMS","vittime di violenza","T","totale","PHYVIOL","violenza psicologica","ALL","tutte le voci","2016","2016",2965,,
"IT","Italia","VICTIMS","vittime di violenza","T","totale","PHYVIOL","violenza psicologica","ALL","tutte le voci","2017","2017",2839,,
"IT","Italia","VICTIMS","vittime di violenza","T","totale","PHYVIOL","violenza psicologica","ALL","tutte le voci","2018","2018",3747,,
"IT","Italia","VICTIMS","vittime di violenza","T","totale","PHYVIOL","violenza psicologica","ALL","tutte le voci","2019","2019",3343,,
"IT","Italia","VICTIMS","vittime di violenza","T","totale","PHYVIOL","violenza psicologica","ALL","tutte le voci","2020","2020",5316,,
"IT","Italia","VICTIMS","vittime di violenza","T","totale","PHYVIOL","violenza psicologica","ALL","tutte le voci","2021","2021",5388,,
"IT","Italia","VICTIMS","vittime di violenza","T","totale","PHYVIOL","violenza psicologica","ALL","tutte le voci","2022","2022",3892,,
"IT","Italia","VICTIMS","vittime di violenza","T","totale","ECON_VIOL","violenza economica","ALL","tutte le voci","2013","2013",279,,
"IT","Italia","VICTIMS","vittime di violenza","T","totale","ECON_VIOL","violenza economica","ALL","tutte le voci","2014","2014",211,,
"IT","Italia","VICTIMS","vittime di violenza","T","totale","ECON_VIOL","violenza economica","ALL","tutte le voci","2015","2015",140,,
"IT","Italia","VICTIMS","vittime di violenza","T","totale","ECON_VIOL","violenza economica","ALL","tutte le voci","2016","2016",151,,
"IT","Italia","VICTIMS","vittime di violenza","T","totale","ECON_VIOL","violenza economica","ALL","tutte le voci","2017","2017",145,,
"IT","Italia","VICTIMS","vittime di violenza","T","totale","ECON_VIOL","violenza economica","ALL","tutte le voci","2018","2018",123,,
"IT","Italia","VICTIMS","vittime di violenza","T","totale","ECON_VIOL","violenza economica","ALL","tutte le voci","2019","2019",118,,
"IT","Italia","VICTIMS","vittime di violenza","T","totale","ECON_VIOL","violenza economica","ALL","tutte le voci","2020","2020",185,,
"IT","Italia","VICTIMS","vittime di violenza","T","totale","ECON_VIOL","violenza economica","ALL","tutte le voci","2021","2021",156,,
"IT","Italia","VICTIMS","vittime di violenza","T","totale","ECON_VIOL","violenza economica","ALL","tutte le voci","2022","2022",127,,
"IT","Italia","VICTIMS","vittime di violenza","T","totale","ALL","tutte le voci","ALL","tutte le voci","2013","2013",15592,,
"IT","Italia","VICTIMS","vittime di violenza","T","totale","ALL","tutte le voci","ALL","tutte le voci","2014","2014",10474,,
"IT","Italia","VICTIMS","vittime di violenza","T","totale","ALL","tutte le voci","ALL","tutte le voci","2015","2015",8082,,
"IT","Italia","VICTIMS","vittime di violenza","T","totale","ALL","tutte le voci","ALL","tutte le voci","2016","2016",8125,,
"IT","Italia","VICTIMS","vittime di violenza","T","totale","ALL","tutte le voci","ALL","tutte le voci","2017","2017",8085,,
"IT","Italia","VICTIMS","vittime di violenza","T","totale","ALL","tutte le voci","ALL","tutte le voci","2018","2018",9602,,
"IT","Italia","VICTIMS","vittime di violenza","T","totale","ALL","tutte le voci","ALL","tutte le voci","2019","2019",8647,,
"IT","Italia","VICTIMS","vittime di violenza","T","totale","ALL","tutte le voci","ALL","tutte le voci","2020","2020",15708,,
"IT","Italia","VICTIMS","vittime di violenza","T","totale","ALL","tutte le voci","ALL","tutte le voci","2021","2021",16272,,
"IT","Italia","VICTIMS","vittime di violenza","T","totale","ALL","tutte le voci","ALL","tutte le voci","2022","2022",11909,,
"IT","Italia","VICTIMS","vittime di violenza","T","totale","THREATS","minacce","ALL","tutte le voci","2013","2013",430,,
"IT","Italia","VICTIMS","vittime di violenza","T","totale","THREATS","minacce","ALL","tutte le voci","2014","2014",448,,
"IT","Italia","VICTIMS","vittime di violenza","T","totale","THREATS","minacce","ALL","tutte le voci","2015","2015",306,,
"IT","Italia","VICTIMS","vittime di violenza","T","totale","THREATS","minacce","ALL","tutte le voci","2016","2016",350,,
"IT","Italia","VICTIMS","vittime di violenza","T","totale","THREATS","minacce","ALL","tutte le voci","2017","2017",356,,
"IT","Italia","VICTIMS","vittime di violenza","T","totale","THREATS","minacce","ALL","tutte le voci","2018","2018",375,,
"IT","Italia","VICTIMS","vittime di violenza","T","totale","THREATS","minacce","ALL","tutte le voci","2019","2019",323,,
"IT","Italia","VICTIMS","vittime di violenza","T","totale","THREATS","minacce","ALL","tutte le voci","2020","2020",508,,
