"ITTER107","Territorio","TIPO_DATO_1522","Tipo dato","SEXISTAT1","Sesso","ETA1","Classe di età","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"ITC1","Piemonte","VICTIMS","vittime di violenza","T","totale","Y_UN17","fino a 17 anni","2013","2013",9,,
"ITC1","Piemonte","VICTIMS","vittime di violenza","T","totale","Y_UN17","fino a 17 anni","2014","2014",6,,
"ITC1","Piemonte","VICTIMS","vittime di violenza","T","totale","Y_UN17","fino a 17 anni","2015","2015",1,,
"ITC1","Piemonte","VICTIMS","vittime di violenza","T","totale","Y_UN17","fino a 17 anni","2016","2016",2,,
"ITC1","Piemonte","VICTIMS","vittime di violenza","T","totale","Y_UN17","fino a 17 anni","2017","2017",5,,
"ITC1","Piemonte","VICTIMS","vittime di violenza","T","totale","Y_UN17","fino a 17 anni","2018","2018",7,,
"ITC1","Piemonte","VICTIMS","vittime di violenza","T","totale","Y_UN17","fino a 17 anni","2019","2019",5,,
"ITC1","Piemonte","VICTIMS","vittime di violenza","T","totale","Y_UN17","fino a 17 anni","2020","2020",9,,
"ITC1","Piemonte","VICTIMS","vittime di violenza","T","totale","Y_UN17","fino a 17 anni","2021","2021",28,,
"ITC1","Piemonte","VICTIMS","vittime di violenza","T","totale","Y_UN17","fino a 17 anni","2022","2022",11,,
"ITC3","Liguria","VICTIMS","vittime di violenza","F","femmine","Y_UN17","fino a 17 anni","2013","2013",3,,
"ITC3","Liguria","VICTIMS","vittime di violenza","F","femmine","Y_UN17","fino a 17 anni","2014","2014",6,,
"ITC3","Liguria","VICTIMS","vittime di violenza","F","femmine","Y_UN17","fino a 17 anni","2015","2015",2,,
"ITC3","Liguria","VICTIMS","vittime di violenza","F","femmine","Y_UN17","fino a 17 anni","2016","2016",2,,
"ITC3","Liguria","VICTIMS","vittime di violenza","F","femmine","Y_UN17","fino a 17 anni","2019","2019",2,,
"ITC3","Liguria","VICTIMS","vittime di violenza","F","femmine","Y_UN17","fino a 17 anni","2020","2020",4,,
"ITC3","Liguria","VICTIMS","vittime di violenza","F","femmine","Y_UN17","fino a 17 anni","2021","2021",7,,
"ITC3","Liguria","VICTIMS","vittime di violenza","F","femmine","Y_UN17","fino a 17 anni","2022","2022",3,,
"ITC3","Liguria","VICTIMS","vittime di violenza","T","totale","Y_UN17","fino a 17 anni","2013","2013",4,,
"ITC3","Liguria","VICTIMS","vittime di violenza","T","totale","Y_UN17","fino a 17 anni","2014","2014",6,,
"ITC3","Liguria","VICTIMS","vittime di violenza","T","totale","Y_UN17","fino a 17 anni","2015","2015",2,,
"ITC3","Liguria","VICTIMS","vittime di violenza","T","totale","Y_UN17","fino a 17 anni","2016","2016",2,,
"ITC3","Liguria","VICTIMS","vittime di violenza","T","totale","Y_UN17","fino a 17 anni","2019","2019",2,,
"ITC3","Liguria","VICTIMS","vittime di violenza","T","totale","Y_UN17","fino a 17 anni","2020","2020",5,,
"ITC3","Liguria","VICTIMS","vittime di violenza","T","totale","Y_UN17","fino a 17 anni","2021","2021",7,,
"ITC3","Liguria","VICTIMS","vittime di violenza","T","totale","Y_UN17","fino a 17 anni","2022","2022",3,,
"ITC4","Lombardia","VICTIMS","vittime di violenza","M","maschi","Y_UN17","fino a 17 anni","2013","2013",1,,
"ITC4","Lombardia","VICTIMS","vittime di violenza","M","maschi","Y_UN17","fino a 17 anni","2017","2017",1,,
"ITC4","Lombardia","VICTIMS","vittime di violenza","M","maschi","Y_UN17","fino a 17 anni","2018","2018",2,,
"ITC4","Lombardia","VICTIMS","vittime di violenza","M","maschi","Y_UN17","fino a 17 anni","2019","2019",1,,
"ITC4","Lombardia","VICTIMS","vittime di violenza","M","maschi","Y_UN17","fino a 17 anni","2020","2020",2,,
"ITC4","Lombardia","VICTIMS","vittime di violenza","M","maschi","Y_UN17","fino a 17 anni","2021","2021",3,,
"ITC4","Lombardia","VICTIMS","vittime di violenza","M","maschi","Y_UN17","fino a 17 anni","2022","2022",2,,
"ITC4","Lombardia","VICTIMS","vittime di violenza","F","femmine","Y_UN17","fino a 17 anni","2013","2013",9,,
"ITC4","Lombardia","VICTIMS","vittime di violenza","F","femmine","Y_UN17","fino a 17 anni","2014","2014",18,,
"ITC4","Lombardia","VICTIMS","vittime di violenza","F","femmine","Y_UN17","fino a 17 anni","2015","2015",10,,
"ITC4","Lombardia","VICTIMS","vittime di violenza","F","femmine","Y_UN17","fino a 17 anni","2016","2016",12,,
"ITC4","Lombardia","VICTIMS","vittime di violenza","F","femmine","Y_UN17","fino a 17 anni","2017","2017",13,,
"ITC4","Lombardia","VICTIMS","vittime di violenza","F","femmine","Y_UN17","fino a 17 anni","2018","2018",14,,
"ITC4","Lombardia","VICTIMS","vittime di violenza","F","femmine","Y_UN17","fino a 17 anni","2019","2019",19,,
"ITC4","Lombardia","VICTIMS","vittime di violenza","F","femmine","Y_UN17","fino a 17 anni","2020","2020",35,,
"ITC4","Lombardia","VICTIMS","vittime di violenza","F","femmine","Y_UN17","fino a 17 anni","2021","2021",53,,
"ITC4","Lombardia","VICTIMS","vittime di violenza","F","femmine","Y_UN17","fino a 17 anni","2022","2022",44,,
"ITC4","Lombardia","VICTIMS","vittime di violenza","T","totale","Y_UN17","fino a 17 anni","2013","2013",10,,
"ITC4","Lombardia","VICTIMS","vittime di violenza","T","totale","Y_UN17","fino a 17 anni","2014","2014",18,,
"ITC4","Lombardia","VICTIMS","vittime di violenza","T","totale","Y_UN17","fino a 17 anni","2015","2015",10,,
"ITC4","Lombardia","VICTIMS","vittime di violenza","T","totale","Y_UN17","fino a 17 anni","2016","2016",12,,
"ITC4","Lombardia","VICTIMS","vittime di violenza","T","totale","Y_UN17","fino a 17 anni","2017","2017",14,,
"ITC4","Lombardia","VICTIMS","vittime di violenza","T","totale","Y_UN17","fino a 17 anni","2018","2018",16,,
"ITC4","Lombardia","VICTIMS","vittime di violenza","T","totale","Y_UN17","fino a 17 anni","2019","2019",20,,
"ITC4","Lombardia","VICTIMS","vittime di violenza","T","totale","Y_UN17","fino a 17 anni","2020","2020",37,,
"ITC4","Lombardia","VICTIMS","vittime di violenza","T","totale","Y_UN17","fino a 17 anni","2021","2021",56,,
"ITC4","Lombardia","VICTIMS","vittime di violenza","T","totale","Y_UN17","fino a 17 anni","2022","2022",46,,
"ITD","Nord-est","VICTIMS","vittime di violenza","M","maschi","Y_UN17","fino a 17 anni","2013","2013",2,,
"ITD","Nord-est","VICTIMS","vittime di violenza","M","maschi","Y_UN17","fino a 17 anni","2014","2014",1,,
"ITD","Nord-est","VICTIMS","vittime di violenza","M","maschi","Y_UN17","fino a 17 anni","2016","2016",2,,
"ITD","Nord-est","VICTIMS","vittime di violenza","M","maschi","Y_UN17","fino a 17 anni","2017","2017",1,,
"ITD","Nord-est","VICTIMS","vittime di violenza","M","maschi","Y_UN17","fino a 17 anni","2021","2021",5,,
"ITD","Nord-est","VICTIMS","vittime di violenza","M","maschi","Y_UN17","fino a 17 anni","2022","2022",5,,
"ITD","Nord-est","VICTIMS","vittime di violenza","F","femmine","Y_UN17","fino a 17 anni","2013","2013",11,,
"ITD","Nord-est","VICTIMS","vittime di violenza","F","femmine","Y_UN17","fino a 17 anni","2014","2014",16,,
"ITD","Nord-est","VICTIMS","vittime di violenza","F","femmine","Y_UN17","fino a 17 anni","2015","2015",7,,
"ITD","Nord-est","VICTIMS","vittime di violenza","F","femmine","Y_UN17","fino a 17 anni","2016","2016",8,,
"ITD","Nord-est","VICTIMS","vittime di violenza","F","femmine","Y_UN17","fino a 17 anni","2017","2017",6,,
"ITD","Nord-est","VICTIMS","vittime di violenza","F","femmine","Y_UN17","fino a 17 anni","2018","2018",12,,
"ITD","Nord-est","VICTIMS","vittime di violenza","F","femmine","Y_UN17","fino a 17 anni","2019","2019",14,,
"ITD","Nord-est","VICTIMS","vittime di violenza","F","femmine","Y_UN17","fino a 17 anni","2020","2020",28,,
"ITD","Nord-est","VICTIMS","vittime di violenza","F","femmine","Y_UN17","fino a 17 anni","2021","2021",56,,
"ITD","Nord-est","VICTIMS","vittime di violenza","F","femmine","Y_UN17","fino a 17 anni","2022","2022",35,,
"ITD","Nord-est","VICTIMS","vittime di violenza","T","totale","Y_UN17","fino a 17 anni","2013","2013",13,,
"ITD","Nord-est","VICTIMS","vittime di violenza","T","totale","Y_UN17","fino a 17 anni","2014","2014",17,,
"ITD","Nord-est","VICTIMS","vittime di violenza","T","totale","Y_UN17","fino a 17 anni","2015","2015",7,,
"ITD","Nord-est","VICTIMS","vittime di violenza","T","totale","Y_UN17","fino a 17 anni","2016","2016",10,,
"ITD","Nord-est","VICTIMS","vittime di violenza","T","totale","Y_UN17","fino a 17 anni","2017","2017",7,,
"ITD","Nord-est","VICTIMS","vittime di violenza","T","totale","Y_UN17","fino a 17 anni","2018","2018",12,,
"ITD","Nord-est","VICTIMS","vittime di violenza","T","totale","Y_UN17","fino a 17 anni","2019","2019",14,,
"ITD","Nord-est","VICTIMS","vittime di violenza","T","totale","Y_UN17","fino a 17 anni","2020","2020",28,,
"ITD","Nord-est","VICTIMS","vittime di violenza","T","totale","Y_UN17","fino a 17 anni","2021","2021",61,,
"ITD","Nord-est","VICTIMS","vittime di violenza","T","totale","Y_UN17","fino a 17 anni","2022","2022",40,,
"ITD3","Veneto","VICTIMS","vittime di violenza","M","maschi","Y_UN17","fino a 17 anni","2014","2014",1,,
"ITD3","Veneto","VICTIMS","vittime di violenza","M","maschi","Y_UN17","fino a 17 anni","2016","2016",2,,
"ITD3","Veneto","VICTIMS","vittime di violenza","M","maschi","Y_UN17","fino a 17 anni","2017","2017",1,,
"ITD3","Veneto","VICTIMS","vittime di violenza","M","maschi","Y_UN17","fino a 17 anni","2021","2021",4,,
"ITD3","Veneto","VICTIMS","vittime di violenza","F","femmine","Y_UN17","fino a 17 anni","2013","2013",4,,
"ITD3","Veneto","VICTIMS","vittime di violenza","F","femmine","Y_UN17","fino a 17 anni","2014","2014",8,,
"ITD3","Veneto","VICTIMS","vittime di violenza","F","femmine","Y_UN17","fino a 17 anni","2015","2015",6,,
"ITD3","Veneto","VICTIMS","vittime di violenza","F","femmine","Y_UN17","fino a 17 anni","2016","2016",7,,
"ITD3","Veneto","VICTIMS","vittime di violenza","F","femmine","Y_UN17","fino a 17 anni","2017","2017",2,,
"ITD3","Veneto","VICTIMS","vittime di violenza","F","femmine","Y_UN17","fino a 17 anni","2018","2018",4,,
"ITD3","Veneto","VICTIMS","vittime di violenza","F","femmine","Y_UN17","fino a 17 anni","2019","2019",6,,
"ITD3","Veneto","VICTIMS","vittime di violenza","F","femmine","Y_UN17","fino a 17 anni","2020","2020",18,,
"ITD3","Veneto","VICTIMS","vittime di violenza","F","femmine","Y_UN17","fino a 17 anni","2021","2021",27,,
"ITD3","Veneto","VICTIMS","vittime di violenza","F","femmine","Y_UN17","fino a 17 anni","2022","2022",17,,
"ITD3","Veneto","VICTIMS","vittime di violenza","T","totale","Y_UN17","fino a 17 anni","2013","2013",4,,
"ITD3","Veneto","VICTIMS","vittime di violenza","T","totale","Y_UN17","fino a 17 anni","2014","2014",9,,
"ITD3","Veneto","VICTIMS","vittime di violenza","T","totale","Y_UN17","fino a 17 anni","2015","2015",6,,
"ITD3","Veneto","VICTIMS","vittime di violenza","T","totale","Y_UN17","fino a 17 anni","2016","2016",9,,
"ITD3","Veneto","VICTIMS","vittime di violenza","T","totale","Y_UN17","fino a 17 anni","2017","2017",3,,
"ITD3","Veneto","VICTIMS","vittime di violenza","T","totale","Y_UN17","fino a 17 anni","2018","2018",4,,
"ITD3","Veneto","VICTIMS","vittime di violenza","T","totale","Y_UN17","fino a 17 anni","2019","2019",6,,
"ITD3","Veneto","VICTIMS","vittime di violenza","T","totale","Y_UN17","fino a 17 anni","2020","2020",18,,
"ITD3","Veneto","VICTIMS","vittime di violenza","T","totale","Y_UN17","fino a 17 anni","2021","2021",31,,
"ITD3","Veneto","VICTIMS","vittime di violenza","T","totale","Y_UN17","fino a 17 anni","2022","2022",17,,
"ITD4","Friuli-Venezia Giulia","VICTIMS","vittime di violenza","F","femmine","Y_UN17","fino a 17 anni","2014","2014",4,,
"ITD4","Friuli-Venezia Giulia","VICTIMS","vittime di violenza","F","femmine","Y_UN17","fino a 17 anni","2017","2017",1,,
"ITD4","Friuli-Venezia Giulia","VICTIMS","vittime di violenza","F","femmine","Y_UN17","fino a 17 anni","2018","2018",1,,
"ITD4","Friuli-Venezia Giulia","VICTIMS","vittime di violenza","F","femmine","Y_UN17","fino a 17 anni","2019","2019",1,,
"ITD4","Friuli-Venezia Giulia","VICTIMS","vittime di violenza","F","femmine","Y_UN17","fino a 17 anni","2020","2020",1,,
"ITD4","Friuli-Venezia Giulia","VICTIMS","vittime di violenza","F","femmine","Y_UN17","fino a 17 anni","2021","2021",2,,
"ITD4","Friuli-Venezia Giulia","VICTIMS","vittime di violenza","F","femmine","Y_UN17","fino a 17 anni","2022","2022",4,,
"ITD4","Friuli-Venezia Giulia","VICTIMS","vittime di violenza","T","totale","Y_UN17","fino a 17 anni","2014","2014",4,,
"ITD4","Friuli-Venezia Giulia","VICTIMS","vittime di violenza","T","totale","Y_UN17","fino a 17 anni","2017","2017",1,,
"ITD4","Friuli-Venezia Giulia","VICTIMS","vittime di violenza","T","totale","Y_UN17","fino a 17 anni","2018","2018",1,,
"ITD4","Friuli-Venezia Giulia","VICTIMS","vittime di violenza","T","totale","Y_UN17","fino a 17 anni","2019","2019",1,,
"ITD4","Friuli-Venezia Giulia","VICTIMS","vittime di violenza","T","totale","Y_UN17","fino a 17 anni","2020","2020",1,,
"ITD4","Friuli-Venezia Giulia","VICTIMS","vittime di violenza","T","totale","Y_UN17","fino a 17 anni","2021","2021",2,,
"ITD4","Friuli-Venezia Giulia","VICTIMS","vittime di violenza","T","totale","Y_UN17","fino a 17 anni","2022","2022",5,,
"ITD5","Emilia-Romagna","VICTIMS","vittime di violenza","M","maschi","Y_UN17","fino a 17 anni","2013","2013",2,,
"ITD5","Emilia-Romagna","VICTIMS","vittime di violenza","M","maschi","Y_UN17","fino a 17 anni","2021","2021",1,,
"ITD5","Emilia-Romagna","VICTIMS","vittime di violenza","M","maschi","Y_UN17","fino a 17 anni","2022","2022",4,,
"ITD5","Emilia-Romagna","VICTIMS","vittime di violenza","F","femmine","Y_UN17","fino a 17 anni","2013","2013",7,,
"ITD5","Emilia-Romagna","VICTIMS","vittime di violenza","F","femmine","Y_UN17","fino a 17 anni","2014","2014",4,,
"ITD5","Emilia-Romagna","VICTIMS","vittime di violenza","F","femmine","Y_UN17","fino a 17 anni","2015","2015",1,,
"ITD5","Emilia-Romagna","VICTIMS","vittime di violenza","F","femmine","Y_UN17","fino a 17 anni","2016","2016",1,,
"ITD5","Emilia-Romagna","VICTIMS","vittime di violenza","F","femmine","Y_UN17","fino a 17 anni","2017","2017",3,,
"ITD5","Emilia-Romagna","VICTIMS","vittime di violenza","F","femmine","Y_UN17","fino a 17 anni","2018","2018",7,,
"ITD5","Emilia-Romagna","VICTIMS","vittime di violenza","F","femmine","Y_UN17","fino a 17 anni","2019","2019",7,,
"ITD5","Emilia-Romagna","VICTIMS","vittime di violenza","F","femmine","Y_UN17","fino a 17 anni","2020","2020",9,,
"ITD5","Emilia-Romagna","VICTIMS","vittime di violenza","F","femmine","Y_UN17","fino a 17 anni","2021","2021",27,,
"ITD5","Emilia-Romagna","VICTIMS","vittime di violenza","F","femmine","Y_UN17","fino a 17 anni","2022","2022",14,,
"ITD5","Emilia-Romagna","VICTIMS","vittime di violenza","T","totale","Y_UN17","fino a 17 anni","2013","2013",9,,
"ITD5","Emilia-Romagna","VICTIMS","vittime di violenza","T","totale","Y_UN17","fino a 17 anni","2014","2014",4,,
"ITD5","Emilia-Romagna","VICTIMS","vittime di violenza","T","totale","Y_UN17","fino a 17 anni","2015","2015",1,,
"ITD5","Emilia-Romagna","VICTIMS","vittime di violenza","T","totale","Y_UN17","fino a 17 anni","2016","2016",1,,
"ITD5","Emilia-Romagna","VICTIMS","vittime di violenza","T","totale","Y_UN17","fino a 17 anni","2017","2017",3,,
"ITD5","Emilia-Romagna","VICTIMS","vittime di violenza","T","totale","Y_UN17","fino a 17 anni","2018","2018",7,,
"ITD5","Emilia-Romagna","VICTIMS","vittime di violenza","T","totale","Y_UN17","fino a 17 anni","2019","2019",7,,
"ITD5","Emilia-Romagna","VICTIMS","vittime di violenza","T","totale","Y_UN17","fino a 17 anni","2020","2020",9,,
"ITD5","Emilia-Romagna","VICTIMS","vittime di violenza","T","totale","Y_UN17","fino a 17 anni","2021","2021",28,,
"ITD5","Emilia-Romagna","VICTIMS","vittime di violenza","T","totale","Y_UN17","fino a 17 anni","2022","2022",18,,
"ITE","Centro","VICTIMS","vittime di violenza","M","maschi","Y_UN17","fino a 17 anni","2013","2013",1,,
"ITE","Centro","VICTIMS","vittime di violenza","M","maschi","Y_UN17","fino a 17 anni","2014","2014",4,,
"ITE","Centro","VICTIMS","vittime di violenza","M","maschi","Y_UN17","fino a 17 anni","2015","2015",2,,
"ITE","Centro","VICTIMS","vittime di violenza","M","maschi","Y_UN17","fino a 17 anni","2017","2017",1,,
"ITE","Centro","VICTIMS","vittime di violenza","M","maschi","Y_UN17","fino a 17 anni","2018","2018",2,,
"ITE","Centro","VICTIMS","vittime di violenza","M","maschi","Y_UN17","fino a 17 anni","2019","2019",3,,
"ITE","Centro","VICTIMS","vittime di violenza","M","maschi","Y_UN17","fino a 17 anni","2020","2020",8,,
"ITE","Centro","VICTIMS","vittime di violenza","M","maschi","Y_UN17","fino a 17 anni","2021","2021",5,,
"ITE","Centro","VICTIMS","vittime di violenza","M","maschi","Y_UN17","fino a 17 anni","2022","2022",4,,
"ITE","Centro","VICTIMS","vittime di violenza","F","femmine","Y_UN17","fino a 17 anni","2013","2013",13,,
"ITE","Centro","VICTIMS","vittime di violenza","F","femmine","Y_UN17","fino a 17 anni","2014","2014",19,,
"ITE","Centro","VICTIMS","vittime di violenza","F","femmine","Y_UN17","fino a 17 anni","2015","2015",15,,
"ITE","Centro","VICTIMS","vittime di violenza","F","femmine","Y_UN17","fino a 17 anni","2016","2016",15,,
"ITE","Centro","VICTIMS","vittime di violenza","F","femmine","Y_UN17","fino a 17 anni","2017","2017",17,,
"ITE","Centro","VICTIMS","vittime di violenza","F","femmine","Y_UN17","fino a 17 anni","2018","2018",19,,
"ITE","Centro","VICTIMS","vittime di violenza","F","femmine","Y_UN17","fino a 17 anni","2019","2019",19,,
"ITE","Centro","VICTIMS","vittime di violenza","F","femmine","Y_UN17","fino a 17 anni","2020","2020",38,,
"ITE","Centro","VICTIMS","vittime di violenza","F","femmine","Y_UN17","fino a 17 anni","2021","2021",70,,
"ITE","Centro","VICTIMS","vittime di violenza","F","femmine","Y_UN17","fino a 17 anni","2022","2022",47,,
"ITE","Centro","VICTIMS","vittime di violenza","T","totale","Y_UN17","fino a 17 anni","2013","2013",14,,
"ITE","Centro","VICTIMS","vittime di violenza","T","totale","Y_UN17","fino a 17 anni","2014","2014",23,,
"ITE","Centro","VICTIMS","vittime di violenza","T","totale","Y_UN17","fino a 17 anni","2015","2015",17,,
"ITE","Centro","VICTIMS","vittime di violenza","T","totale","Y_UN17","fino a 17 anni","2016","2016",15,,
"ITE","Centro","VICTIMS","vittime di violenza","T","totale","Y_UN17","fino a 17 anni","2017","2017",18,,
