"ITTER107","Territorio","TIPO_DATO_1522","Tipo dato","SEXISTAT1","Sesso","TITOLO_STUDIO","Titolo di studio","DENUNCIA","Denuncia e motivo del ritiro","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"IT","Italia","VICTIMS","vittime di violenza","T","totale","ALL","totale","NOREPORT","non denuncia","2022","2022",8238,,
"IT","Italia","VICTIMS","vittime di violenza","T","totale","USE_IF","diploma di istruzione secondaria di II grado o di qualifica professionale (corso di 3-4 anni) compresi IFTS","NOREPORT","non denuncia","2013","2013",3937,,
"IT","Italia","VICTIMS","vittime di violenza","T","totale","USE_IF","diploma di istruzione secondaria di II grado o di qualifica professionale (corso di 3-4 anni) compresi IFTS","NOREPORT","non denuncia","2014","2014",2537,,
"IT","Italia","VICTIMS","vittime di violenza","T","totale","USE_IF","diploma di istruzione secondaria di II grado o di qualifica professionale (corso di 3-4 anni) compresi IFTS","NOREPORT","non denuncia","2015","2015",1573,,
"IT","Italia","VICTIMS","vittime di violenza","T","totale","USE_IF","diploma di istruzione secondaria di II grado o di qualifica professionale (corso di 3-4 anni) compresi IFTS","NOREPORT","non denuncia","2016","2016",1546,,
"IT","Italia","VICTIMS","vittime di violenza","T","totale","USE_IF","diploma di istruzione secondaria di II grado o di qualifica professionale (corso di 3-4 anni) compresi IFTS","NOREPORT","non denuncia","2017","2017",1039,,
"IT","Italia","VICTIMS","vittime di violenza","T","totale","USE_IF","diploma di istruzione secondaria di II grado o di qualifica professionale (corso di 3-4 anni) compresi IFTS","NOREPORT","non denuncia","2018","2018",1575,,
"IT","Italia","VICTIMS","vittime di violenza","T","totale","USE_IF","diploma di istruzione secondaria di II grado o di qualifica professionale (corso di 3-4 anni) compresi IFTS","NOREPORT","non denuncia","2019","2019",1507,,
"IT","Italia","VICTIMS","vittime di violenza","T","totale","USE_IF","diploma di istruzione secondaria di II grado o di qualifica professionale (corso di 3-4 anni) compresi IFTS","NOREPORT","non denuncia","2020","2020",1212,,
"IT","Italia","VICTIMS","vittime di violenza","T","totale","USE_IF","diploma di istruzione secondaria di II grado o di qualifica professionale (corso di 3-4 anni) compresi IFTS","NOREPORT","non denuncia","2021","2021",982,,
"IT","Italia","VICTIMS","vittime di violenza","T","totale","USE_IF","diploma di istruzione secondaria di II grado o di qualifica professionale (corso di 3-4 anni) compresi IFTS","NOREPORT","non denuncia","2022","2022",1835,,
"IT","Italia","VICTIMS","vittime di violenza","T","totale","NP","licenza di scuola elementare, nessun titolo di studio","NOREPORT","non denuncia","2013","2013",647,,
"IT","Italia","VICTIMS","vittime di violenza","T","totale","NP","licenza di scuola elementare, nessun titolo di studio","NOREPORT","non denuncia","2014","2014",305,,
"IT","Italia","VICTIMS","vittime di violenza","T","totale","NP","licenza di scuola elementare, nessun titolo di studio","NOREPORT","non denuncia","2015","2015",172,,
"IT","Italia","VICTIMS","vittime di violenza","T","totale","NP","licenza di scuola elementare, nessun titolo di studio","NOREPORT","non denuncia","2016","2016",164,,
"IT","Italia","VICTIMS","vittime di violenza","T","totale","NP","licenza di scuola elementare, nessun titolo di studio","NOREPORT","non denuncia","2017","2017",98,,
"IT","Italia","VICTIMS","vittime di violenza","T","totale","NP","licenza di scuola elementare, nessun titolo di studio","NOREPORT","non denuncia","2018","2018",125,,
"IT","Italia","VICTIMS","vittime di violenza","T","totale","NP","licenza di scuola elementare, nessun titolo di studio","NOREPORT","non denuncia","2019","2019",119,,
"IT","Italia","VICTIMS","vittime di violenza","T","totale","NP","licenza di scuola elementare, nessun titolo di studio","NOREPORT","non denuncia","2020","2020",76,,
"IT","Italia","VICTIMS","vittime di violenza","T","totale","NP","licenza di scuola elementare, nessun titolo di studio","NOREPORT","non denuncia","2021","2021",40,,
"IT","Italia","VICTIMS","vittime di violenza","T","totale","NP","licenza di scuola elementare, nessun titolo di studio","NOREPORT","non denuncia","2022","2022",57,,
"IT","Italia","VICTIMS","vittime di violenza","T","totale","LSE","licenza di scuola media inferiore o di avviamento professionale","NOREPORT","non denuncia","2013","2013",2845,,
"IT","Italia","VICTIMS","vittime di violenza","T","totale","LSE","licenza di scuola media inferiore o di avviamento professionale","NOREPORT","non denuncia","2014","2014",2021,,
"IT","Italia","VICTIMS","vittime di violenza","T","totale","LSE","licenza di scuola media inferiore o di avviamento professionale","NOREPORT","non denuncia","2015","2015",1163,,
"IT","Italia","VICTIMS","vittime di violenza","T","totale","LSE","licenza di scuola media inferiore o di avviamento professionale","NOREPORT","non denuncia","2016","2016",1002,,
"IT","Italia","VICTIMS","vittime di violenza","T","totale","LSE","licenza di scuola media inferiore o di avviamento professionale","NOREPORT","non denuncia","2017","2017",691,,
"IT","Italia","VICTIMS","vittime di violenza","T","totale","LSE","licenza di scuola media inferiore o di avviamento professionale","NOREPORT","non denuncia","2018","2018",1054,,
"IT","Italia","VICTIMS","vittime di violenza","T","totale","LSE","licenza di scuola media inferiore o di avviamento professionale","NOREPORT","non denuncia","2019","2019",904,,
"IT","Italia","VICTIMS","vittime di violenza","T","totale","LSE","licenza di scuola media inferiore o di avviamento professionale","NOREPORT","non denuncia","2020","2020",466,,
"IT","Italia","VICTIMS","vittime di violenza","T","totale","LSE","licenza di scuola media inferiore o di avviamento professionale","NOREPORT","non denuncia","2021","2021",265,,
"IT","Italia","VICTIMS","vittime di violenza","T","totale","LSE","licenza di scuola media inferiore o di avviamento professionale","NOREPORT","non denuncia","2022","2022",478,,
"IT","Italia","VICTIMS","vittime di violenza","T","totale","CLF_ML","laurea o diploma universitario","NOREPORT","non denuncia","2013","2013",1549,,
"IT","Italia","VICTIMS","vittime di violenza","T","totale","CLF_ML","laurea o diploma universitario","NOREPORT","non denuncia","2014","2014",1216,,
"IT","Italia","VICTIMS","vittime di violenza","T","totale","CLF_ML","laurea o diploma universitario","NOREPORT","non denuncia","2015","2015",718,,
"IT","Italia","VICTIMS","vittime di violenza","T","totale","CLF_ML","laurea o diploma universitario","NOREPORT","non denuncia","2016","2016",772,,
"IT","Italia","VICTIMS","vittime di violenza","T","totale","CLF_ML","laurea o diploma universitario","NOREPORT","non denuncia","2017","2017",629,,
"IT","Italia","VICTIMS","vittime di violenza","T","totale","CLF_ML","laurea o diploma universitario","NOREPORT","non denuncia","2018","2018",895,,
"IT","Italia","VICTIMS","vittime di violenza","T","totale","CLF_ML","laurea o diploma universitario","NOREPORT","non denuncia","2019","2019",1053,,
"IT","Italia","VICTIMS","vittime di violenza","T","totale","CLF_ML","laurea o diploma universitario","NOREPORT","non denuncia","2020","2020",861,,
"IT","Italia","VICTIMS","vittime di violenza","T","totale","CLF_ML","laurea o diploma universitario","NOREPORT","non denuncia","2021","2021",677,,
"IT","Italia","VICTIMS","vittime di violenza","T","totale","CLF_ML","laurea o diploma universitario","NOREPORT","non denuncia","2022","2022",1182,,
"IT","Italia","VICTIMS","vittime di violenza","T","totale","NRP","non indicato","NOREPORT","non denuncia","2014","2014",131,,
"IT","Italia","VICTIMS","vittime di violenza","T","totale","NRP","non indicato","NOREPORT","non denuncia","2015","2015",143,,
"IT","Italia","VICTIMS","vittime di violenza","T","totale","NRP","non indicato","NOREPORT","non denuncia","2016","2016",165,,
"IT","Italia","VICTIMS","vittime di violenza","T","totale","NRP","non indicato","NOREPORT","non denuncia","2017","2017",134,,
"IT","Italia","VICTIMS","vittime di violenza","T","totale","NRP","non indicato","NOREPORT","non denuncia","2018","2018",81,,
"IT","Italia","VICTIMS","vittime di violenza","T","totale","NRP","non indicato","NOREPORT","non denuncia","2019","2019",48,,
"IT","Italia","VICTIMS","vittime di violenza","T","totale","NRP","non indicato","NOREPORT","non denuncia","2020","2020",98,,
"IT","Italia","VICTIMS","vittime di violenza","T","totale","NRP","non indicato","NOREPORT","non denuncia","2021","2021",640,,
"IT","Italia","VICTIMS","vittime di violenza","T","totale","NRP","non indicato","NOREPORT","non denuncia","2022","2022",1367,,
"IT","Italia","VICTIMS","vittime di violenza","NRP","non indicato","ALL","totale","NOREPORT","non denuncia","2013","2013",58,,
"IT","Italia","VICTIMS","vittime di violenza","NRP","non indicato","ALL","totale","NOREPORT","non denuncia","2014","2014",2,,
"IT","Italia","VICTIMS","vittime di violenza","M","maschi","ALL","totale","NOREP_POLICE","le Forze dell'Ordine invitano a non fare denuncia","2013","2013",29,,
"IT","Italia","VICTIMS","vittime di violenza","M","maschi","ALL","totale","NOREP_POLICE","le Forze dell'Ordine invitano a non fare denuncia","2014","2014",15,,
"IT","Italia","VICTIMS","vittime di violenza","M","maschi","ALL","totale","NOREP_POLICE","le Forze dell'Ordine invitano a non fare denuncia","2015","2015",16,,
"IT","Italia","VICTIMS","vittime di violenza","M","maschi","ALL","totale","NOREP_POLICE","le Forze dell'Ordine invitano a non fare denuncia","2016","2016",16,,
"IT","Italia","VICTIMS","vittime di violenza","M","maschi","ALL","totale","NOREP_POLICE","le Forze dell'Ordine invitano a non fare denuncia","2017","2017",12,,
"IT","Italia","VICTIMS","vittime di violenza","M","maschi","ALL","totale","NOREP_POLICE","le Forze dell'Ordine invitano a non fare denuncia","2018","2018",9,,
"IT","Italia","VICTIMS","vittime di violenza","M","maschi","ALL","totale","NOREP_POLICE","le Forze dell'Ordine invitano a non fare denuncia","2019","2019",9,,
"IT","Italia","VICTIMS","vittime di violenza","M","maschi","ALL","totale","NOREP_POLICE","le Forze dell'Ordine invitano a non fare denuncia","2020","2020",16,,
"IT","Italia","VICTIMS","vittime di violenza","M","maschi","ALL","totale","NOREP_POLICE","le Forze dell'Ordine invitano a non fare denuncia","2021","2021",7,,
"IT","Italia","VICTIMS","vittime di violenza","M","maschi","ALL","totale","NOREP_POLICE","le Forze dell'Ordine invitano a non fare denuncia","2022","2022",6,,
"IT","Italia","VICTIMS","vittime di violenza","F","femmine","ALL","totale","NOREP_POLICE","le Forze dell'Ordine invitano a non fare denuncia","2013","2013",510,,
"IT","Italia","VICTIMS","vittime di violenza","F","femmine","ALL","totale","NOREP_POLICE","le Forze dell'Ordine invitano a non fare denuncia","2014","2014",373,,
"IT","Italia","VICTIMS","vittime di violenza","F","femmine","ALL","totale","NOREP_POLICE","le Forze dell'Ordine invitano a non fare denuncia","2015","2015",326,,
"IT","Italia","VICTIMS","vittime di violenza","F","femmine","ALL","totale","NOREP_POLICE","le Forze dell'Ordine invitano a non fare denuncia","2016","2016",279,,
"IT","Italia","VICTIMS","vittime di violenza","F","femmine","ALL","totale","NOREP_POLICE","le Forze dell'Ordine invitano a non fare denuncia","2017","2017",253,,
"IT","Italia","VICTIMS","vittime di violenza","F","femmine","ALL","totale","NOREP_POLICE","le Forze dell'Ordine invitano a non fare denuncia","2018","2018",240,,
"IT","Italia","VICTIMS","vittime di violenza","F","femmine","ALL","totale","NOREP_POLICE","le Forze dell'Ordine invitano a non fare denuncia","2019","2019",174,,
"IT","Italia","VICTIMS","vittime di violenza","F","femmine","ALL","totale","NOREP_POLICE","le Forze dell'Ordine invitano a non fare denuncia","2020","2020",305,,
"IT","Italia","VICTIMS","vittime di violenza","F","femmine","ALL","totale","NOREP_POLICE","le Forze dell'Ordine invitano a non fare denuncia","2021","2021",281,,
"IT","Italia","VICTIMS","vittime di violenza","F","femmine","ALL","totale","NOREP_POLICE","le Forze dell'Ordine invitano a non fare denuncia","2022","2022",235,,
"IT","Italia","VICTIMS","vittime di violenza","T","totale","ALL","totale","NOREP_POLICE","le Forze dell'Ordine invitano a non fare denuncia","2013","2013",540,,
"IT","Italia","VICTIMS","vittime di violenza","T","totale","ALL","totale","NOREP_POLICE","le Forze dell'Ordine invitano a non fare denuncia","2014","2014",388,,
"IT","Italia","VICTIMS","vittime di violenza","T","totale","ALL","totale","NOREP_POLICE","le Forze dell'Ordine invitano a non fare denuncia","2015","2015",342,,
"IT","Italia","VICTIMS","vittime di violenza","T","totale","ALL","totale","NOREP_POLICE","le Forze dell'Ordine invitano a non fare denuncia","2016","2016",295,,
"IT","Italia","VICTIMS","vittime di violenza","T","totale","ALL","totale","NOREP_POLICE","le Forze dell'Ordine invitano a non fare denuncia","2017","2017",265,,
"IT","Italia","VICTIMS","vittime di violenza","T","totale","ALL","totale","NOREP_POLICE","le Forze dell'Ordine invitano a non fare denuncia","2018","2018",249,,
"IT","Italia","VICTIMS","vittime di violenza","T","totale","ALL","totale","NOREP_POLICE","le Forze dell'Ordine invitano a non fare denuncia","2019","2019",183,,
"IT","Italia","VICTIMS","vittime di violenza","T","totale","ALL","totale","NOREP_POLICE","le Forze dell'Ordine invitano a non fare denuncia","2020","2020",321,,
"IT","Italia","VICTIMS","vittime di violenza","T","totale","ALL","totale","NOREP_POLICE","le Forze dell'Ordine invitano a non fare denuncia","2021","2021",288,,
"IT","Italia","VICTIMS","vittime di violenza","T","totale","ALL","totale","NOREP_POLICE","le Forze dell'Ordine invitano a non fare denuncia","2022","2022",241,,
"IT","Italia","VICTIMS","vittime di violenza","T","totale","USE_IF","diploma di istruzione secondaria di II grado o di qualifica professionale (corso di 3-4 anni) compresi IFTS","NOREP_POLICE","le Forze dell'Ordine invitano a non fare denuncia","2013","2013",211,,
"IT","Italia","VICTIMS","vittime di violenza","T","totale","USE_IF","diploma di istruzione secondaria di II grado o di qualifica professionale (corso di 3-4 anni) compresi IFTS","NOREP_POLICE","le Forze dell'Ordine invitano a non fare denuncia","2014","2014",132,,
"IT","Italia","VICTIMS","vittime di violenza","T","totale","USE_IF","diploma di istruzione secondaria di II grado o di qualifica professionale (corso di 3-4 anni) compresi IFTS","NOREP_POLICE","le Forze dell'Ordine invitano a non fare denuncia","2015","2015",97,,
"IT","Italia","VICTIMS","vittime di violenza","T","totale","USE_IF","diploma di istruzione secondaria di II grado o di qualifica professionale (corso di 3-4 anni) compresi IFTS","NOREP_POLICE","le Forze dell'Ordine invitano a non fare denuncia","2016","2016",76,,
"IT","Italia","VICTIMS","vittime di violenza","T","totale","USE_IF","diploma di istruzione secondaria di II grado o di qualifica professionale (corso di 3-4 anni) compresi IFTS","NOREP_POLICE","le Forze dell'Ordine invitano a non fare denuncia","2017","2017",51,,
"IT","Italia","VICTIMS","vittime di violenza","T","totale","USE_IF","diploma di istruzione secondaria di II grado o di qualifica professionale (corso di 3-4 anni) compresi IFTS","NOREP_POLICE","le Forze dell'Ordine invitano a non fare denuncia","2018","2018",68,,
"IT","Italia","VICTIMS","vittime di violenza","T","totale","USE_IF","diploma di istruzione secondaria di II grado o di qualifica professionale (corso di 3-4 anni) compresi IFTS","NOREP_POLICE","le Forze dell'Ordine invitano a non fare denuncia","2019","2019",38,,
"IT","Italia","VICTIMS","vittime di violenza","T","totale","USE_IF","diploma di istruzione secondaria di II grado o di qualifica professionale (corso di 3-4 anni) compresi IFTS","NOREP_POLICE","le Forze dell'Ordine invitano a non fare denuncia","2020","2020",41,,
"IT","Italia","VICTIMS","vittime di violenza","T","totale","USE_IF","diploma di istruzione secondaria di II grado o di qualifica professionale (corso di 3-4 anni) compresi IFTS","NOREP_POLICE","le Forze dell'Ordine invitano a non fare denuncia","2021","2021",44,,
"IT","Italia","VICTIMS","vittime di violenza","T","totale","USE_IF","diploma di istruzione secondaria di II grado o di qualifica professionale (corso di 3-4 anni) compresi IFTS","NOREP_POLICE","le Forze dell'Ordine invitano a non fare denuncia","2022","2022",68,,
"IT","Italia","VICTIMS","vittime di violenza","T","totale","NP","licenza di scuola elementare, nessun titolo di studio","NOREP_POLICE","le Forze dell'Ordine invitano a non fare denuncia","2013","2013",45,,
"IT","Italia","VICTIMS","vittime di violenza","T","totale","NP","licenza di scuola elementare, nessun titolo di studio","NOREP_POLICE","le Forze dell'Ordine invitano a non fare denuncia","2014","2014",19,,
"IT","Italia","VICTIMS","vittime di violenza","T","totale","NP","licenza di scuola elementare, nessun titolo di studio","NOREP_POLICE","le Forze dell'Ordine invitano a non fare denuncia","2015","2015",10,,
"IT","Italia","VICTIMS","vittime di violenza","T","totale","NP","licenza di scuola elementare, nessun titolo di studio","NOREP_POLICE","le Forze dell'Ordine invitano a non fare denuncia","2016","2016",8,,
"IT","Italia","VICTIMS","vittime di violenza","T","totale","NP","licenza di scuola elementare, nessun titolo di studio","NOREP_POLICE","le Forze dell'Ordine invitano a non fare denuncia","2017","2017",7,,
"IT","Italia","VICTIMS","vittime di violenza","T","totale","NP","licenza di scuola elementare, nessun titolo di studio","NOREP_POLICE","le Forze dell'Ordine invitano a non fare denuncia","2018","2018",8,,
"IT","Italia","VICTIMS","vittime di violenza","T","totale","NP","licenza di scuola elementare, nessun titolo di studio","NOREP_POLICE","le Forze dell'Ordine invitano a non fare denuncia","2019","2019",2,,
"IT","Italia","VICTIMS","vittime di violenza","T","totale","NP","licenza di scuola elementare, nessun titolo di studio","NOREP_POLICE","le Forze dell'Ordine invitano a non fare denuncia","2020","2020",5,,
"IT","Italia","VICTIMS","vittime di violenza","T","totale","NP","licenza di scuola elementare, nessun titolo di studio","NOREP_POLICE","le Forze dell'Ordine invitano a non fare denuncia","2021","2021",5,,
"IT","Italia","VICTIMS","vittime di violenza","T","totale","NP","licenza di scuola elementare, nessun titolo di studio","NOREP_POLICE","le Forze dell'Ordine invitano a non fare denuncia","2022","2022",2,,
"IT","Italia","VICTIMS","vittime di violenza","T","totale","LSE","licenza di scuola media inferiore o di avviamento professionale","NOREP_POLICE","le Forze dell'Ordine invitano a non fare denuncia","2013","2013",171,,
"IT","Italia","VICTIMS","vittime di violenza","T","totale","LSE","licenza di scuola media inferiore o di avviamento professionale","NOREP_POLICE","le Forze dell'Ordine invitano a non fare denuncia","2014","2014",112,,
"IT","Italia","VICTIMS","vittime di violenza","T","totale","LSE","licenza di scuola media inferiore o di avviamento professionale","NOREP_POLICE","le Forze dell'Ordine invitano a non fare denuncia","2015","2015",55,,
"IT","Italia","VICTIMS","vittime di violenza","T","totale","LSE","licenza di scuola media inferiore o di avviamento professionale","NOREP_POLICE","le Forze dell'Ordine invitano a non fare denuncia","2016","2016",63,,
"IT","Italia","VICTIMS","vittime di violenza","T","totale","LSE","licenza di scuola media inferiore o di avviamento professionale","NOREP_POLICE","le Forze dell'Ordine invitano a non fare denuncia","2017","2017",37,,
"IT","Italia","VICTIMS","vittime di violenza","T","totale","LSE","licenza di scuola media inferiore o di avviamento professionale","NOREP_POLICE","le Forze dell'Ordine invitano a non fare denuncia","2018","2018",40,,
"IT","Italia","VICTIMS","vittime di violenza","T","totale","LSE","licenza di scuola media inferiore o di avviamento professionale","NOREP_POLICE","le Forze dell'Ordine invitano a non fare denuncia","2019","2019",24,,
"IT","Italia","VICTIMS","vittime di violenza","T","totale","LSE","licenza di scuola media inferiore o di avviamento professionale","NOREP_POLICE","le Forze dell'Ordine invitano a non fare denuncia","2020","2020",21,,
"IT","Italia","VICTIMS","vittime di violenza","T","totale","LSE","licenza di scuola media inferiore o di avviamento professionale","NOREP_POLICE","le Forze dell'Ordine invitano a non fare denuncia","2021","2021",9,,
"IT","Italia","VICTIMS","vittime di violenza","T","totale","LSE","licenza di scuola media inferiore o di avviamento professionale","NOREP_POLICE","le Forze dell'Ordine invitano a non fare denuncia","2022","2022",18,,
"IT","Italia","VICTIMS","vittime di violenza","T","totale","CLF_ML","laurea o diploma universitario","NOREP_POLICE","le Forze dell'Ordine invitano a non fare denuncia","2013","2013",58,,
"IT","Italia","VICTIMS","vittime di violenza","T","totale","CLF_ML","laurea o diploma universitario","NOREP_POLICE","le Forze dell'Ordine invitano a non fare denuncia","2014","2014",58,,
"IT","Italia","VICTIMS","vittime di violenza","T","totale","CLF_ML","laurea o diploma universitario","NOREP_POLICE","le Forze dell'Ordine invitano a non fare denuncia","2015","2015",34,,
"IT","Italia","VICTIMS","vittime di violenza","T","totale","CLF_ML","laurea o diploma universitario","NOREP_POLICE","le Forze dell'Ordine invitano a non fare denuncia","2016","2016",31,,
"IT","Italia","VICTIMS","vittime di violenza","T","totale","CLF_ML","laurea o diploma universitario","NOREP_POLICE","le Forze dell'Ordine invitano a non fare denuncia","2017","2017",26,,
"IT","Italia","VICTIMS","vittime di violenza","T","totale","CLF_ML","laurea o diploma universitario","NOREP_POLICE","le Forze dell'Ordine invitano a non fare denuncia","2018","2018",24,,
"IT","Italia","VICTIMS","vittime di violenza","T","totale","CLF_ML","laurea o diploma universitario","NOREP_POLICE","le Forze dell'Ordine invitano a non fare denuncia","2019","2019",33,,
"IT","Italia","VICTIMS","vittime di violenza","T","totale","CLF_ML","laurea o diploma universitario","NOREP_POLICE","le Forze dell'Ordine invitano a non fare denuncia","2020","2020",28,,
"IT","Italia","VICTIMS","vittime di violenza","T","totale","CLF_ML","laurea o diploma universitario","NOREP_POLICE","le Forze dell'Ordine invitano a non fare denuncia","2021","2021",13,,
"IT","Italia","VICTIMS","vittime di violenza","T","totale","CLF_ML","laurea o diploma universitario","NOREP_POLICE","le Forze dell'Ordine invitano a non fare denuncia","2022","2022",33,,
"IT","Italia","VICTIMS","vittime di violenza","T","totale","NRP","non indicato","NOREP_POLICE","le Forze dell'Ordine invitano a non fare denuncia","2014","2014",12,,
"IT","Italia","VICTIMS","vittime di violenza","T","totale","NRP","non indicato","NOREP_POLICE","le Forze dell'Ordine invitano a non fare denuncia","2015","2015",10,,
"IT","Italia","VICTIMS","vittime di violenza","T","totale","NRP","non indicato","NOREP_POLICE","le Forze dell'Ordine invitano a non fare denuncia","2016","2016",9,,
"IT","Italia","VICTIMS","vittime di violenza","T","totale","NRP","non indicato","NOREP_POLICE","le Forze dell'Ordine invitano a non fare denuncia","2017","2017",8,,
"IT","Italia","VICTIMS","vittime di violenza","T","totale","NRP","non indicato","NOREP_POLICE","le Forze dell'Ordine invitano a non fare denuncia","2018","2018",2,,
"IT","Italia","VICTIMS","vittime di violenza","T","totale","NRP","non indicato","NOREP_POLICE","le Forze dell'Ordine invitano a non fare denuncia","2019","2019",4,,
"IT","Italia","VICTIMS","vittime di violenza","T","totale","NRP","non indicato","NOREP_POLICE","le Forze dell'Ordine invitano a non fare denuncia","2020","2020",2,,
"IT","Italia","VICTIMS","vittime di violenza","T","totale","NRP","non indicato","NOREP_POLICE","le Forze dell'Ordine invitano a non fare denuncia","2021","2021",14,,
"IT","Italia","VICTIMS","vittime di violenza","T","totale","NRP","non indicato","NOREP_POLICE","le Forze dell'Ordine invitano a non fare denuncia","2022","2022",33,,
"IT","Italia","VICTIMS","vittime di violenza","NRP","non indicato","ALL","totale","NOREP_POLICE","le Forze dell'Ordine invitano a non fare denuncia","2013","2013",1,,
"IT","Italia","VICTIMS","vittime di violenza","M","maschi","ALL","totale","NOREP_RETURN","ritorno dal maltrattante","2013","2013",27,,
"IT","Italia","VICTIMS","vittime di violenza","M","maschi","ALL","totale","NOREP_RETURN","ritorno dal maltrattante","2014","2014",5,,
"IT","Italia","VICTIMS","vittime di violenza","M","maschi","ALL","totale","NOREP_RETURN","ritorno dal maltrattante","2015","2015",3,,
"IT","Italia","VICTIMS","vittime di violenza","M","maschi","ALL","totale","NOREP_RETURN","ritorno dal maltrattante","2016","2016",10,,
"IT","Italia","VICTIMS","vittime di violenza","M","maschi","ALL","totale","NOREP_RETURN","ritorno dal maltrattante","2017","2017",4,,
"IT","Italia","VICTIMS","vittime di violenza","M","maschi","ALL","totale","NOREP_RETURN","ritorno dal maltrattante","2018","2018",4,,
"IT","Italia","VICTIMS","vittime di violenza","M","maschi","ALL","totale","NOREP_RETURN","ritorno dal maltrattante","2019","2019",3,,
"IT","Italia","VICTIMS","vittime di violenza","M","maschi","ALL","totale","NOREP_RETURN","ritorno dal maltrattante","2020","2020",6,,
"IT","Italia","VICTIMS","vittime di violenza","M","maschi","ALL","totale","NOREP_RETURN","ritorno dal maltrattante","2021","2021",9,,
"IT","Italia","VICTIMS","vittime di violenza","M","maschi","ALL","totale","NOREP_RETURN","ritorno dal maltrattante","2022","2022",4,,
"IT","Italia","VICTIMS","vittime di violenza","F","femmine","ALL","totale","NOREP_RETURN","ritorno dal maltrattante","2013","2013",517,,
"IT","Italia","VICTIMS","vittime di violenza","F","femmine","ALL","totale","NOREP_RETURN","ritorno dal maltrattante","2014","2014",292,,
